x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.005	1	0.5	1	2.5	1	0.5	1	2.5
0.015	1	0.5	1	2.5	1	0.5	1	2.5
0.025	1	0.5	1	2.5	1	0.5	1	2.5
0.035	1	0.5	1	2.5	1	0.5	1	2.5
0.045	1	0.5	1	2.5	1	0.5	1	2.5
0.055	1	0.5	1	2.5	1	0.5	1	2.5
0.065	1	0.5	1	2.5	1	0.5	1	2.5
0.075	1	0.5	1	2.5	1	0.5	1	2.5
0.085	1	0.5	1	2.5	1	0.5	1	2.5
0.095	1	0.5	1	2.5	1	0.5	1	2.5
0.105	1	0.5	1	2.5	1	0.5	1	2.5
0.115	1	0.5	1	2.5	1	0.5	1	2.5
0.125	1	0.5	1	2.5	1	0.5	1	2.5
0.135	1	0.5	1	2.5	1	0.5	1	2.5
0.145	1	0.5	1	2.5	1	0.5	1	2.5
0.155	1	0.5	1	2.5	1	0.5	1	2.5
0.165	1	0.5	1	2.5	1	0.5	1	2.5
0.175	1	0.5	1	2.5	1	0.5	1	2.5
0.185	1	0.5	1	2.5	1	0.5	1	2.5
0.195	1	0.5	1	2.5	1	0.5	1	2.5
0.205	1	0.5	1	2.5	1	0.5	1	2.5
0.215	1	0.5	1	2.5	1	0.5	1	2.5
0.225	1	0.5	1	2.5	1	0.5	1	2.5
0.235	1	0.5	1	2.5	1	0.5	1	2.5
0.245	1	0.5	1	2.5	1	0.5	1	2.5
0.255	1	0.5	1	2.5	1	0.5	1	2.5
0.265	1	0.5	1	2.5	1	0.5	1	2.5
0.275	1	0.5	1	2.5	1	0.5	1	2.5
0.285	1	0.5	1	2.5	1	0.5	1	2.5
0.295	1	0.5	1	2.5	1	0.5	1	2.5
0.305	1	0.5	1	2.5	1	0.5	1	2.5
0.315	1	0.5	1	2.5	1	0.5	1	2.5
0.325	1	0.5	1	2.5	1	0.5	1	2.5
0.335	1	0.5	1	2.5	1	0.5	1	2.5
0.345	1	0.5	1	2.5	1	0.5	1	2.5
0.355	1	0.5	1	2.5	1	0.5	1	2.5
0.365	1	0.5	1	2.5	1	0.5	1	2.5
0.375	1	0.5	1	2.5	1	0.5	1	2.5
0.385	1	0.5	1	2.5	1	0.5	1	2.5
0.395	1	0.5	1	2.5	1	0.5	1	2.5
0.405	1	0.5	1	2.5	1	0.5	1	2.5
0.415	1	0.5	1	2.5	1	0.5	1	2.5
0.425	1	0.5	1	2.5	1	0.5	1	2.5
0.435	1	0.5	1	2.5	1	0.5	1	2.5
0.445	1	0.5	1	2.5	1	0.5	1	2.5
0.455	1	0.5	1	2.5	1	0.5	1	2.5
0.465	1	0.5	1	2.5	1	0.5	1	2.5
0.475	1	0.5	1	2.5	1	0.5	1	2.5
0.485	1	0.5	1	2.5	1	0.5	1	2.5
0.495	1	0.5	1	2.5	1	0.5	1	2.5
0.505	1	0.5	1	2.5	1	0.5	1	2.5
0.515	1	0.5	1	2.5	1	0.5	1	2.5
0.525	1	0.5	1	2.5	1	0.5	1	2.5
0.535	1	0.5	1	2.5	1	0.5	1	2.5
0.545	1	0.5	1	2.5	1	0.5	1	2.5
0.555	1	0.5	1	2.5	1	0.5	1	2.5
0.565	1	0.5	1	2.5	1	0.5	1	2.5
0.575	1	0.5	1	2.5	1	0.5	1	2.5
0.585	1	0.5	1	2.5	1	0.5	1	2.5
0.595	1	0.5	1	2.5	1	0.5	1	2.5
0.605	1	0.5	1	2.5	1	0.5	1	2.5
0.615	1	0.5	1	2.5	1	0.5	1	2.5
0.625	1	0.5	1	2.5	1	0.5	1	2.5
0.635	1	0.5	1	2.5	1	0.5	1	2.5
0.645	1	0.5	1	2.5	1	0.5	1	2.5
0.655	1	0.5	1	2.5	1	0.5	1	2.5
0.665	1	0.5	1	2.5	1	0.5	1	2.5
0.675	1	0.5	1	2.5	1	0.5	1	2.5
0.685	1	0.5	1	2.5	1	0.5	1	2.5
0.695	1	0.5	1	2.5	1	0.5	1	2.5
0.705	1	0.5	1	2.5	1	0.5	1	2.5
0.715	1	0.5	1	2.5	1	0.5	1	2.5
0.725	1	0.5	1	2.5	1	0.5	1	2.5
0.735	1	0.5	1	2.5	1	0.5	1	2.5
0.745	1	0.5	1	2.5	1	0.5	1	2.5
0.755	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.765	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.775	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.785	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.795	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.805	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.815	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.825	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.835	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.845	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.855	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.865	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.875	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.885	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.895	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.905	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.915	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
0.925	0.138	0.5	1	18.1159	0.138	0.5	1	18.1159
