x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.005	1	0.5	1	2.5	1	0.5	1	2.5
0.015	1	0.5	1	2.5	1	0.5	1	2.5
0.025	1	0.5	1	2.5	1	0.5	1	2.5
0.035	1	0.5	1	2.5	1	0.5	1	2.5
0.045	1	0.5	1	2.5	1	0.5	1	2.5
0.055	1	0.5	1	2.5	1	0.5	1	2.5
0.065	1	0.5	1	2.5	1	0.5	1	2.5
0.075	1	0.5	1	2.5	1	0.5	1	2.5
0.085	1	0.5	1	2.5	1	0.5	1	2.5
0.095	1	0.5	1	2.5	1	0.5	1	2.5
0.105	1	0.5	1	2.5	1	0.5	1	2.5
0.115	1	0.5	1	2.5	1	0.5	1	2.5
0.125	1	0.5	1	2.5	1	0.5	1	2.5
0.135	1	0.5	1	2.5	1	0.5	1	2.5
0.145	1	0.5	1	2.5	1	0.5	1	2.5
0.155	1	0.5	1	2.5	1	0.5	1	2.5
0.165	1	0.5	1	2.5	1	0.5	1	2.5
0.175	1	0.5	1	2.5	1	0.5	1	2.5
0.185	1	0.5	1	2.5	1	0.5	1	2.5
0.195	1	0.5	1	2.5	1	0.5	1	2.5
0.205	1	0.5	1	2.5	1	0.5	1	2.5
0.215	1	0.5	1	2.5	1	0.5	1	2.5
0.225	1	0.5	1	2.5	1	0.5	1	2.5
0.235	1	0.5	1	2.5	1	0.5	1	2.5
0.245	1	0.5	1	2.5	1	0.5	1	2.5
0.255	1	0.5	1	2.5	1	0.5	1	2.5
0.265	1	0.5	1	2.5	1	0.5	1	2.5
0.275	1	0.5	1	2.5	1	0.5	1	2.5
0.285	1	0.5	1	2.5	1	0.5	1	2.5
0.295	1	0.5	1	2.5	1	0.5	1	2.5
0.305	1	0.5	1	2.5	1	0.5	1	2.5
0.315	1	0.5	1	2.5	1	0.5	1	2.5
0.325	1	0.5	1	2.5	1	0.5	1	2.5
0.335	1	0.5	1	2.5	1	0.5	1	2.5
0.345	1	0.5	1	2.5	1	0.5	1	2.5
0.355	1	0.5	1	2.5	1	0.5	1	2.5
0.365	1	0.5	1	2.5	1	0.5	1	2.5
0.375	1	0.5	1	2.5	1	0.5	1	2.5
0.385	1	0.5	1	2.5	1	0.5	1	2.5
0.395	1	0.5	1	2.5	1	0.5	1	2.5
0.405	1	0.5	1	2.5	1	0.5	1	2.5
0.415	1	0.5	1	2.5	1	0.5	1	2.5
0.425	1	0.5	1	2.5	1	0.5	1	2.5
0.435	1	0.5	1	2.5	1	0.5	1	2.5
0.445	1	0.5	1	2.5	1	0.5	1	2.5
0.455	1	0.5	1	2.5	1	0.5	1	2.5
0.465	1	0.5	1	2.5	1	0.5	1	2.5
0.475	1	0.5	1	2.5	1	0.5	1	2.5
0.485	1	0.5	1	2.5	1	0.5	1	2.5
0.495	1	0.5	1	2.5	1	0.5	1	2.5
0.505	1	0.5	1	2.5	1	0.5	1	2.5
0.515	1	0.5	1	2.5	1	0.5	1	2.5
0.525	1	0.5	1	2.5	1	0.5	1	2.5
0.535	1	0.5	1	2.5	1	0.5	1	2.5
0.545	1	0.5	1	2.5	1	0.5	1	2.5
0.555	1	0.5	1	2.5	1	0.5	1	2.5
0.565	0.999999	0.5	1	2.5	1	0.5	1	2.5
0.575	0.999996	0.5	1	2.50001	1	0.5	1	2.5
0.585	0.999989	0.5	1	2.50003	1	0.5	1	2.5
0.595	0.999973	0.5	1	2.50007	1	0.5	1	2.5
0.605	0.999933	0.5	1	2.50017	1	0.5	1	2.5
0.615	0.999841	0.5	1	2.5004	1	0.5	1	2.5
0.625	0.999637	0.5	1	2.50091	1	0.5	1	2.5
0.635	0.999204	0.5	1	2.50199	1	0.5	1	2.5
0.645	0.99832	0.5	1	2.50421	1	0.5	1	2.5
0.655	0.996591	0.5	1	2.50855	1	0.5	1	2.5
0.665	0.993345	0.5	1	2.51675	1	0.5	1	2.5
0.675	0.987496	0.5	1	2.53166	1	0.5	1	2.5
0.685	0.977393	0.5	1	2.55783	1	0.5	1	2.5
0.695	0.960669	0.5	1	2.60235	1	0.5	1	2.5
0.705	0.934161	0.5	1	2.6762	1	0.5	1	2.5
0.715	0.893974	0.5	1	2.7965	1	0.5	1	2.5
0.725	0.835779	0.5	1	2.99122	1	0.5	1	2.5
0.735	0.755427	0.5	1	3.30939	1	0.5	1	2.5
0.745	0.649897	0.5	1	3.84677	1	0.5	1	2.5
0.755	0.518706	0.5	1	4.81968	0.138	0.5	1	18.1159
0.765	0.39029	0.5	1	6.40549	0.138	0.5	1	18.1159
0.775	0.298037	0.5	1	8.38822	0.138	0.5	1	18.1159
0.785	0.235721	0.5	1	10.6058	0.138	0.5	1	18.1159
0.795	0.195547	0.5	1	12.7846	0.138	0.5	1	18.1159
0.805	0.170736	0.5	1	14.6425	0.138	0.5	1	18.1159
0.815	0.156015	0.5	1	16.0241	0.138	0.5	1	18.1159
0.825	0.147603	0.5	1	16.9374	0.138	0.5	1	18.1159
0.835	0.142964	0.5	1	17.4869	0.138	0.5	1	18.1159
0.845	0.140491	0.5	1	17.7947	0.138	0.5	1	18.1159
0.855	0.139215	0.5	1	17.9578	0.138	0.5	1	18.1159
0.865	0.138576	0.5	1	18.0406	0.138	0.5	1	18.1159
0.875	0.138266	0.5	1	18.0811	0.138	0.5	1	18.1159
0.885	0.13812	0.5	1	18.1002	0.138	0.5	1	18.1159
0.895	0.138053	0.5	1	18.109	0.138	0.5	1	18.1159
