x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.005	1	0.5	1	2.5	1	0.5	1	2.5
0.015	1	0.5	1	2.5	1	0.5	1	2.5
0.025	1	0.5	1	2.5	1	0.5	1	2.5
0.035	1	0.5	1	2.5	1	0.5	1	2.5
0.045	1	0.5	1	2.5	1	0.5	1	2.5
0.055	1	0.5	1	2.5	1	0.5	1	2.5
0.065	1	0.5	1	2.5	1	0.5	1	2.5
0.075	1	0.5	1	2.5	1	0.5	1	2.5
0.085	1	0.5	1	2.5	1	0.5	1	2.5
0.095	1	0.5	1	2.5	1	0.5	1	2.5
0.105	1	0.5	1	2.5	1	0.5	1	2.5
0.115	1	0.5	1	2.5	1	0.5	1	2.5
0.125	1	0.5	1	2.5	1	0.5	1	2.5
0.135	1	0.5	1	2.5	1	0.5	1	2.5
0.145	1	0.5	1	2.5	1	0.5	1	2.5
0.155	1	0.5	1	2.5	1	0.5	1	2.5
0.165	1	0.5	1	2.5	1	0.5	1	2.5
0.175	1	0.5	1	2.5	1	0.5	1	2.5
0.185	1	0.5	1	2.5	1	0.5	1	2.5
0.195	1	0.5	1	2.5	1	0.5	1	2.5
0.205	1	0.5	1	2.5	1	0.5	1	2.5
0.215	1	0.5	1	2.5	1	0.5	1	2.5
0.225	1	0.5	1	2.5	1	0.5	1	2.5
0.235	1	0.5	1	2.5	1	0.5	1	2.5
0.245	1	0.5	1	2.5	1	0.5	1	2.5
0.255	1	0.5	1	2.5	1	0.5	1	2.5
0.265	1	0.5	1	2.5	1	0.5	1	2.5
0.275	1	0.5	1	2.5	1	0.5	1	2.5
0.285	1	0.5	1	2.5	1	0.5	1	2.5
0.295	1	0.5	1	2.5	1	0.5	1	2.5
0.305	1	0.5	1	2.5	1	0.5	1	2.5
0.315	1	0.5	1	2.5	1	0.5	1	2.5
0.325	1	0.5	1	2.5	1	0.5	1	2.5
0.335	0.999999	0.5	1	2.5	1	0.5	1	2.5
0.345	0.999999	0.5	1	2.5	1	0.5	1	2.5
0.355	0.999999	0.5	1	2.5	1	0.5	1	2.5
0.365	0.999998	0.5	1	2.50001	1	0.5	1	2.5
0.375	0.999997	0.5	1	2.50001	1	0.5	1	2.5
0.385	0.999995	0.5	1	2.50001	1	0.5	1	2.5
0.395	0.999992	0.5	1	2.50002	1	0.5	1	2.5
0.405	0.999988	0.5	1	2.50003	1	0.5	1	2.5
0.415	0.999982	0.5	1	2.50005	1	0.5	1	2.5
0.425	0.999972	0.5	1	2.50007	1	0.5	1	2.5
0.435	0.999959	0.5	1	2.5001	1	0.5	1	2.5
0.445	0.999938	0.5	1	2.50015	1	0.5	1	2.5
0.455	0.999909	0.5	1	2.50023	1	0.5	1	2.5
0.465	0.999865	0.5	1	2.50034	1	0.5	1	2.5
0.475	0.999803	0.5	1	2.50049	1	0.5	1	2.5
0.485	0.999714	0.5	1	2.50071	1	0.5	1	2.5
0.495	0.999588	0.5	1	2.50103	1	0.5	1	2.5
0.505	0.999409	0.5	1	2.50148	1	0.5	1	2.5
0.515	0.999159	0.5	1	2.5021	1	0.5	1	2.5
0.525	0.998812	0.5	1	2.50297	1	0.5	1	2.5
0.535	0.998332	0.5	1	2.50418	1	0.5	1	2.5
0.545	0.997674	0.5	1	2.50583	1	0.5	1	2.5
0.555	0.99678	0.5	1	2.50808	1	0.5	1	2.5
0.565	0.995573	0.5	1	2.51112	1	0.5	1	2.5
0.575	0.993958	0.5	1	2.5152	1	0.5	1	2.5
0.585	0.991813	0.5	1	2.52064	1	0.5	1	2.5
0.595	0.988987	0.5	1	2.52784	1	0.5	1	2.5
0.605	0.985295	0.5	1	2.53731	1	0.5	1	2.5
0.615	0.980511	0.5	1	2.54969	1	0.5	1	2.5
0.625	0.974365	0.5	1	2.56577	1	0.5	1	2.5
0.635	0.966539	0.5	1	2.58655	1	0.5	1	2.5
0.645	0.956661	0.5	1	2.61326	1	0.5	1	2.5
0.655	0.944306	0.5	1	2.64745	1	0.5	1	2.5
0.665	0.928997	0.5	1	2.69107	1	0.5	1	2.5
0.675	0.910208	0.5	1	2.74663	1	0.5	1	2.5
0.685	0.887372	0.5	1	2.81731	1	0.5	1	2.5
0.695	0.859899	0.5	1	2.90732	1	0.5	1	2.5
0.705	0.827191	0.5	1	3.02228	1	0.5	1	2.5
0.715	0.788663	0.5	1	3.16992	1	0.5	1	2.5
0.725	0.743795	0.5	1	3.36114	1	0.5	1	2.5
0.735	0.692118	0.5	1	3.6121	1	0.5	1	2.5
0.745	0.633354	0.5	1	3.94724	1	0.5	1	2.5
0.755	0.56744	0.5	1	4.40575	0.138	0.5	1	18.1159
0.765	0.493859	0.5	1	5.06217	0.138	0.5	1	18.1159
0.775	0.421567	0.5	1	5.93026	0.138	0.5	1	18.1159
0.785	0.360734	0.5	1	6.93031	0.138	0.5	1	18.1159
0.795	0.310673	0.5	1	8.04706	0.138	0.5	1	18.1159
0.805	0.270178	0.5	1	9.25315	0.138	0.5	1	18.1159
0.815	0.237928	0.5	1	10.5074	0.138	0.5	1	18.1159
0.825	0.212628	0.5	1	11.7576	0.138	0.5	1	18.1159
0.835	0.193068	0.5	1	12.9488	0.138	0.5	1	18.1159
0.845	0.178158	0.5	1	14.0325	0.138	0.5	1	18.1159
0.855	0.166946	0.5	1	14.9749	0.138	0.5	1	18.1159
0.865	0.158627	0.5	1	15.7602	0.138	0.5	1	18.1159
0.875	0.152535	0.5	1	16.3897	0.138	0.5	1	18.1159
