x	rho	u	p	e
0.00125	1.33327	111.795	149996	281255
0.00375	1.33327	111.795	149996	281255
0.00625	1.33327	111.795	149996	281255
0.00875	1.33327	111.795	149996	281255
0.01125	1.33327	111.795	149996	281255
0.01375	1.33327	111.795	149996	281255
0.01625	1.33327	111.795	149996	281255
0.01875	1.33327	111.795	149995	281255
0.02125	1.33327	111.795	149995	281255
0.02375	1.33327	111.795	149995	281255
0.02625	1.33327	111.795	149995	281255
0.02875	1.33327	111.795	149995	281255
0.03125	1.33327	111.795	149995	281255
0.03375	1.33327	111.795	149996	281255
0.03625	1.33327	111.795	149996	281255
0.03875	1.33327	111.795	149996	281255
0.04125	1.33327	111.795	149996	281255
0.04375	1.33327	111.795	149996	281255
0.04625	1.33327	111.795	149996	281255
0.04875	1.33327	111.795	149996	281255
0.05125	1.33327	111.795	149996	281255
0.05375	1.33327	111.795	149996	281255
0.05625	1.33327	111.795	149996	281255
0.05875	1.33327	111.795	149996	281255
0.06125	1.33327	111.795	149996	281255
0.06375	1.33327	111.795	149996	281255
0.06625	1.33327	111.795	149996	281255
0.06875	1.33327	111.795	149996	281255
0.07125	1.33327	111.795	149996	281255
0.07375	1.33327	111.795	149996	281255
0.07625	1.33327	111.795	149996	281255
0.07875	1.33327	111.795	149995	281255
0.08125	1.33327	111.795	149995	281255
0.08375	1.33327	111.795	149995	281255
0.08625	1.33327	111.795	149995	281255
0.08875	1.33327	111.795	149995	281255
0.09125	1.33327	111.795	149995	281255
0.09375	1.33327	111.795	149995	281255
0.09625	1.33327	111.795	149996	281255
0.09875	1.33327	111.795	149996	281255
0.10125	1.33327	111.795	149996	281255
0.10375	1.33327	111.795	149996	281255
0.10625	1.33327	111.795	149996	281255
0.10875	1.33327	111.795	149996	281255
0.11125	1.33327	111.795	149996	281255
0.11375	1.33327	111.795	149996	281255
0.11625	1.33327	111.795	149996	281255
0.11875	1.33327	111.795	149996	281255
0.12125	1.33327	111.795	149996	281255
0.12375	1.33327	111.795	149996	281255
0.12625	1.33327	111.795	149996	281255
0.12875	1.33327	111.795	149996	281255
0.13125	1.33327	111.795	149996	281255
0.13375	1.33327	111.795	149996	281255
0.13625	1.33327	111.795	149996	281255
0.13875	1.33327	111.795	149996	281255
0.14125	1.33327	111.795	149996	281255
0.14375	1.33327	111.795	149996	281255
0.14625	1.33327	111.795	149996	281255
0.14875	1.33327	111.795	149996	281255
0.15125	1.33327	111.795	149996	281255
0.15375	1.33327	111.795	149996	281255
0.15625	1.33327	111.795	149996	281255
0.15875	1.33327	111.795	149996	281255
0.16125	1.33327	111.795	149996	281255
0.16375	1.33327	111.795	149996	281255
0.16625	1.33327	111.795	149996	281255
0.16875	1.33327	111.795	149996	281255
0.17125	1.33327	111.795	149996	281255
0.17375	1.33327	111.795	149996	281256
0.17625	1.33326	111.795	149996	281258
0.17875	1.33324	111.796	149995	281260
0.18125	1.33322	111.797	149994	281264
0.18375	1.33317	111.8	149993	281271
0.18625	1.33309	111.806	149990	281282
0.18875	1.33295	111.819	149983	281299
0.19125	1.33273	111.842	149970	281323
0.19375	1.33238	111.883	149949	281356
0.19625	1.33187	111.947	149915	281399
0.19875	1.33114	112.05	149860	281451
0.20125	1.33018	112.216	149773	281489
0.20375	1.32902	112.469	149639	281483
0.20625	1.32761	112.839	149444	281416
0.20875	1.32577	113.369	149165	281280
0.21125	1.32335	114.096	148783	281072
0.21375	1.32023	115.053	148282	280788
0.21625	1.31632	116.265	147648	280418
0.21875	1.31159	117.752	146874	279955
0.22125	1.30601	119.52	145958	279397
0.22375	1.2996	121.561	144907	278753
0.22625	1.29237	123.855	143732	278041
0.22875	1.28434	126.386	142446	277275
0.23125	1.27556	129.138	141058	276463
0.23375	1.26643	132.002	139628	275633
0.23625	1.2575	134.799	138241	274832
0.23875	1.24887	137.515	136906	274061
0.24125	1.24055	140.14	135627	273319
0.24375	1.2326	142.662	134407	272608
0.24625	1.22507	145.062	133255	271933
0.24875	1.21802	147.319	132179	271300
0.25125	1.21151	149.409	131190	270715
0.25375	1.20563	151.308	130297	270185
0.25625	1.20042	152.994	129508	269714
0.25875	1.19594	154.452	128830	269307
0.26125	1.19219	155.675	128263	268966
0.26375	1.18915	156.668	127804	268689
0.26625	1.18677	157.445	127446	268472
0.26875	1.18499	158.031	127177	268308
0.27125	1.1837	158.454	126982	268190
0.27375	1.18281	158.748	126847	268107
0.27625	1.18221	158.945	126757	268052
0.27875	1.18183	159.071	126700	268016
0.28125	1.18159	159.148	126664	267994
0.28375	1.18146	159.194	126643	267981
0.28625	1.18138	159.22	126631	267973
0.28875	1.18134	159.234	126625	267969
0.29125	1.18132	159.242	126621	267966
0.29375	1.18131	159.245	126619	267965
