x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.00025	1000	1.75023e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00075	1000	1.77592e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00125	1000	1.72139e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00175	1000	1.61047e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00225	1000	1.34822e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00275	1000	1.16315e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00325	1000	1.2225e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00375	1000	1.30283e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00425	1000	1.25132e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00475	1000	1.19985e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00525	1000	1.17424e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00575	1000	1.18206e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00625	1000	1.27397e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00675	1000	1.16616e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00725	1000	1.1196e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00775	1000	1.14041e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00825	1000	1.20472e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00875	1000	1.11963e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00925	1000	9.50562e-13	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.00975	1000	1.10488e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01025	1000	1.27888e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01075	1000	1.5412e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01125	1000	1.69869e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01175	1000	1.3978e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01225	1000	1.35921e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01275	1000	1.5296e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01325	1000	1.58297e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01375	1000	1.48173e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01425	1000	1.41065e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01475	1000	1.36594e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01525	1000	1.282e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01575	1000	1.16432e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01625	1000	1.05832e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01675	1000	1.03753e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01725	1000	1.06506e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01775	1000	9.05698e-13	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01825	1000	8.2851e-13	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01875	1000	8.79999e-13	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01925	1000	9.00791e-13	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.01975	1000	8.94077e-13	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02025	1000	1.25389e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02075	1000	2.26328e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02125	1000	3.55087e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02175	1000	5.68043e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02225	1000	8.89529e-12	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02275	1000	1.45174e-11	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02325	1000	2.31401e-11	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02375	1000	3.59067e-11	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02425	1000	5.55044e-11	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02475	1000	8.49528e-11	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02525	1000	1.30202e-10	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02575	1000	1.97477e-10	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02625	1000	2.98868e-10	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02675	1000	4.50723e-10	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02725	1000	6.77155e-10	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02775	1000	1.01313e-09	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02825	1000	1.51116e-09	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02875	1000	2.24801e-09	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02925	1000	3.33541e-09	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.02975	1000	4.93524e-09	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03025	1000	7.28214e-09	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03075	1000	1.07162e-08	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03125	1000	1.57285e-08	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03175	1000	2.30241e-08	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03225	1000	3.36148e-08	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03275	1000	4.8945e-08	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03325	1000	7.10766e-08	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03375	1000	1.02938e-07	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03425	1000	1.48676e-07	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03475	1000	2.14152e-07	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03525	1000	3.07614e-07	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03575	1000	4.40642e-07	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03625	1000	6.2944e-07	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03675	1000	8.96607e-07	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03725	1000	1.27356e-06	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03775	1000	1.80385e-06	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03825	1000	2.54761e-06	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03875	1000	3.58764e-06	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03925	1000	5.03753e-06	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.03975	1000	7.05263e-06	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04025	1000	9.84459e-06	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04075	1000	1.37009e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04125	1000	1.90104e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04175	1000	2.62975e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04225	1000	3.62668e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04275	1000	4.98612e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04325	1000	6.83381e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04375	1000	9.3368e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04425	1000	0.000127161	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04475	1000	0.000172632	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04525	1000	0.000233605	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04575	1000	0.000315083	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04625	1000	0.000423581	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04675	1000	0.000567544	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04725	1000	0.00075788	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04775	1000	0.00100861	9.99997e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04825	999.999	0.00133768	9.99996e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04875	999.999	0.00176794	9.99995e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04925	999.999	0.00232839	9.99994e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.04975	999.999	0.0030556	9.99992e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.05025	999.998	0.00399552	9.99989e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.05075	999.998	0.00520552	9.99986e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.05125	999.997	0.00675696	9.99982e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.05175	999.997	0.00873802	9.99977e+08	1.07058e+06	1000	0	1e+09	1.07059e+06
0.05225	999.996	0.0112572	9.9997e+08	1.07058e+06	1000	0	1e+09	1.07059e+06
0.05275	999.995	0.0144469	9.99962e+08	1.07058e+06	1000	0	1e+09	1.07059e+06
0.05325	999.993	0.0184685	9.99951e+08	1.07058e+06	1000	0	1e+09	1.07059e+06
0.05375	999.991	0.0235166	9.99938e+08	1.07058e+06	1000	0	1e+09	1.07059e+06
0.05425	999.989	0.0298248	9.99921e+08	1.07058e+06	1000	0	1e+09	1.07059e+06
0.05475	999.986	0.0376719	9.999e+08	1.07057e+06	1000	0	1e+09	1.07059e+06
0.05525	999.982	0.0473883	9.99874e+08	1.07057e+06	1000	0	1e+09	1.07059e+06
0.05575	999.978	0.0593622	9.99842e+08	1.07057e+06	1000	0	1e+09	1.07059e+06
0.05625	999.972	0.0740472	9.99804e+08	1.07056e+06	1000	0	1e+09	1.07059e+06
0.05675	999.965	0.0919691	9.99756e+08	1.07055e+06	1000	0	1e+09	1.07059e+06
0.05725	999.957	0.113732	9.99698e+08	1.07055e+06	1000	0	1e+09	1.07059e+06
0.05775	999.947	0.140024	9.99629e+08	1.07054e+06	1000	0	1e+09	1.07059e+06
0.05825	999.935	0.171625	9.99545e+08	1.07052e+06	1000	0	1e+09	1.07059e+06
0.05875	999.921	0.209404	9.99444e+08	1.07051e+06	1000	0	1e+09	1.07059e+06
0.05925	999.904	0.254328	9.99325e+08	1.07049e+06	1000	0	1e+09	1.07059e+06
0.05975	999.884	0.307455	9.99184e+08	1.07047e+06	1000	0	1e+09	1.07059e+06
0.06025	999.861	0.369936	9.99019e+08	1.07045e+06	1000	0	1e+09	1.07059e+06
0.06075	999.833	0.443003	9.98825e+08	1.07042e+06	1000	0	1e+09	1.07059e+06
0.06125	999.801	0.527962	9.986e+08	1.07039e+06	1000	0	1e+09	1.07059e+06
0.06175	999.764	0.62618	9.98339e+08	1.07035e+06	1000	0	1e+09	1.07059e+06
0.06225	999.721	0.739062	9.9804e+08	1.07031e+06	1000	0	1e+09	1.07059e+06
0.06275	999.673	0.868036	9.97698e+08	1.07026e+06	1000	0	1e+09	1.07059e+06
0.06325	999.618	1.01452	9.9731e+08	1.07021e+06	1000	0	1e+09	1.07059e+06
0.06375	999.555	1.17992	9.96871e+08	1.07014e+06	1000	0	1e+09	1.07059e+06
0.06425	999.485	1.36555	9.96379e+08	1.07007e+06	1000	0	1e+09	1.07059e+06
0.06475	999.407	1.57266	9.95831e+08	1.07e+06	1000	0	1e+09	1.07059e+06
0.06525	999.321	1.80236	9.95222e+08	1.06991e+06	1000	0	1e+09	1.07059e+06
0.06575	999.225	2.05565	9.94552e+08	1.06981e+06	1000	0	1e+09	1.07059e+06
0.06625	999.12	2.33333	9.93816e+08	1.06971e+06	1000	0	1e+09	1.07059e+06
0.06675	999.006	2.63601	9.93015e+08	1.0696e+06	1000	0	1e+09	1.07059e+06
0.06725	998.882	2.9641	9.92147e+08	1.06947e+06	1000	0	1e+09	1.07059e+06
0.06775	998.749	3.31781	9.91212e+08	1.06934e+06	1000	0	1e+09	1.07059e+06
0.06825	998.606	3.69712	9.90209e+08	1.0692e+06	1000	0	1e+09	1.07059e+06
0.06875	998.453	4.1018	9.8914e+08	1.06905e+06	1000	0	1e+09	1.07059e+06
0.06925	998.291	4.53142	9.88005e+08	1.06889e+06	1000	0	1e+09	1.07059e+06
0.06975	998.12	4.98534	9.86806e+08	1.06872e+06	1000	0	1e+09	1.07059e+06
0.07025	997.94	5.46279	9.85546e+08	1.06854e+06	999.853	0.389201	9.98968e+08	1.07044e+06
0.07075	997.751	5.96282	9.84227e+08	1.06835e+06	999.559	1.16913	9.969e+08	1.07015e+06
0.07125	997.554	6.48438	9.82852e+08	1.06816e+06	999.265	1.94905	9.94834e+08	1.06985e+06
0.07175	997.349	7.02632	9.81424e+08	1.06796e+06	998.971	2.72897	9.92769e+08	1.06956e+06
0.07225	997.138	7.58743	9.79946e+08	1.06775e+06	998.677	3.5089	9.90706e+08	1.06927e+06
0.07275	996.919	8.16644	9.78422e+08	1.06753e+06	998.383	4.28882	9.88645e+08	1.06898e+06
0.07325	996.694	8.7621	9.76855e+08	1.06731e+06	998.088	5.06875	9.86586e+08	1.06869e+06
0.07375	996.463	9.37313	9.75249e+08	1.06708e+06	997.794	5.84867	9.84528e+08	1.06839e+06
0.07425	996.227	9.99831	9.73607e+08	1.06685e+06	997.5	6.62859	9.82472e+08	1.0681e+06
0.07475	995.986	10.6364	9.71931e+08	1.06661e+06	997.205	7.40852	9.80417e+08	1.06781e+06
0.07525	995.74	11.2864	9.70226e+08	1.06637e+06	996.911	8.18844	9.78364e+08	1.06752e+06
0.07575	995.49	11.947	9.68494e+08	1.06613e+06	996.616	8.96837	9.76313e+08	1.06723e+06
0.07625	995.237	12.6174	9.66737e+08	1.06588e+06	996.321	9.74829	9.74263e+08	1.06694e+06
0.07675	994.98	13.2966	9.64959e+08	1.06563e+06	996.027	10.5282	9.72215e+08	1.06665e+06
0.07725	994.72	13.9837	9.63161e+08	1.06538e+06	995.732	11.3081	9.70169e+08	1.06637e+06
0.07775	994.457	14.678	9.61346e+08	1.06512e+06	995.437	12.0881	9.68124e+08	1.06608e+06
0.07825	994.192	15.3787	9.59515e+08	1.06487e+06	995.142	12.868	9.66081e+08	1.06579e+06
0.07875	993.925	16.0852	9.5767e+08	1.06461e+06	994.847	13.6479	9.64039e+08	1.0655e+06
0.07925	993.655	16.7969	9.55813e+08	1.06435e+06	994.552	14.4278	9.61999e+08	1.06521e+06
0.07975	993.384	17.5133	9.53946e+08	1.06408e+06	994.257	15.2078	9.59961e+08	1.06493e+06
0.08025	993.111	18.234	9.52068e+08	1.06382e+06	993.962	15.9877	9.57924e+08	1.06464e+06
0.08075	992.837	18.9584	9.50182e+08	1.06355e+06	993.666	16.7676	9.55889e+08	1.06436e+06
0.08125	992.561	19.6864	9.48289e+08	1.06329e+06	993.371	17.5475	9.53856e+08	1.06407e+06
0.08175	992.284	20.4175	9.46388e+08	1.06302e+06	993.076	18.3275	9.51824e+08	1.06378e+06
0.08225	992.006	21.1515	9.44482e+08	1.06276e+06	992.78	19.1074	9.49794e+08	1.0635e+06
0.08275	991.727	21.888	9.4257e+08	1.06249e+06	992.485	19.8873	9.47766e+08	1.06322e+06
0.08325	991.447	22.627	9.40654e+08	1.06222e+06	992.189	20.6672	9.45739e+08	1.06293e+06
0.08375	991.165	23.3682	9.38733e+08	1.06195e+06	991.894	21.4472	9.43714e+08	1.06265e+06
0.08425	990.884	24.1114	9.36808e+08	1.06168e+06	991.598	22.2271	9.4169e+08	1.06236e+06
0.08475	990.601	24.8565	9.3488e+08	1.06141e+06	991.302	23.007	9.39668e+08	1.06208e+06
0.08525	990.318	25.6034	9.32949e+08	1.06114e+06	991.007	23.7869	9.37648e+08	1.0618e+06
0.08575	990.033	26.3519	9.31015e+08	1.06087e+06	990.711	24.5668	9.35629e+08	1.06152e+06
0.08625	989.749	27.102	9.29079e+08	1.0606e+06	990.415	25.3468	9.33612e+08	1.06123e+06
0.08675	989.463	27.8536	9.2714e+08	1.06033e+06	990.119	26.1267	9.31597e+08	1.06095e+06
0.08725	989.177	28.6067	9.25199e+08	1.06006e+06	989.823	26.9066	9.29583e+08	1.06067e+06
0.08775	988.891	29.361	9.23256e+08	1.05979e+06	989.527	27.6865	9.27571e+08	1.06039e+06
0.08825	988.604	30.1164	9.21312e+08	1.05952e+06	989.231	28.4665	9.2556e+08	1.06011e+06
0.08875	988.317	30.8728	9.19367e+08	1.05925e+06	988.934	29.2464	9.23551e+08	1.05983e+06
0.08925	988.029	31.6301	9.17422e+08	1.05898e+06	988.638	30.0263	9.21544e+08	1.05955e+06
0.08975	987.741	32.3882	9.15475e+08	1.05871e+06	988.342	30.8062	9.19538e+08	1.05927e+06
0.09025	987.452	33.1472	9.13528e+08	1.05844e+06	988.045	31.5862	9.17534e+08	1.05899e+06
0.09075	987.163	33.9069	9.11581e+08	1.05817e+06	987.749	32.3661	9.15532e+08	1.05871e+06
0.09125	986.874	34.6673	9.09633e+08	1.0579e+06	987.452	33.146	9.13531e+08	1.05844e+06
0.09175	986.584	35.4284	9.07685e+08	1.05763e+06	987.156	33.9259	9.11531e+08	1.05816e+06
0.09225	986.294	36.1901	9.05737e+08	1.05736e+06	986.859	34.7059	9.09534e+08	1.05788e+06
0.09275	986.004	36.9524	9.03789e+08	1.05709e+06	986.563	35.4858	9.07538e+08	1.05761e+06
0.09325	985.714	37.7153	9.01841e+08	1.05682e+06	986.266	36.2657	9.05544e+08	1.05733e+06
0.09375	985.423	38.4786	8.99894e+08	1.05655e+06	985.969	37.0456	9.03551e+08	1.05705e+06
0.09425	985.132	39.2425	8.97947e+08	1.05628e+06	985.672	37.8256	9.0156e+08	1.05678e+06
0.09475	984.841	40.007	8.96e+08	1.05601e+06	985.375	38.6055	8.9957e+08	1.0565e+06
0.09525	984.55	40.7719	8.94053e+08	1.05574e+06	985.078	39.3854	8.97582e+08	1.05623e+06
0.09575	984.258	41.5374	8.92106e+08	1.05547e+06	984.781	40.1653	8.95596e+08	1.05595e+06
0.09625	983.966	42.3033	8.9016e+08	1.0552e+06	984.484	40.9453	8.93612e+08	1.05568e+06
0.09675	983.674	43.0697	8.88214e+08	1.05493e+06	984.187	41.7252	8.91629e+08	1.0554e+06
0.09725	983.382	43.8366	8.86269e+08	1.05466e+06	983.889	42.5051	8.89647e+08	1.05513e+06
0.09775	983.089	44.6038	8.84324e+08	1.0544e+06	983.592	43.285	8.87667e+08	1.05486e+06
0.09825	982.796	45.3715	8.82379e+08	1.05413e+06	983.295	44.065	8.85689e+08	1.05458e+06
0.09875	982.503	46.1395	8.80435e+08	1.05386e+06	982.997	44.8449	8.83713e+08	1.05431e+06
0.09925	982.21	46.908	8.78492e+08	1.05359e+06	982.7	45.6248	8.81738e+08	1.05404e+06
0.09975	981.916	47.6768	8.7655e+08	1.05333e+06	982.402	46.4047	8.79764e+08	1.05377e+06
0.10025	981.623	48.4459	8.74608e+08	1.05306e+06	982.104	47.1846	8.77793e+08	1.0535e+06
0.10075	981.329	49.2154	8.72667e+08	1.05279e+06	981.807	47.9646	8.75823e+08	1.05323e+06
0.10125	981.035	49.9852	8.70726e+08	1.05253e+06	981.509	48.7445	8.73854e+08	1.05296e+06
0.10175	980.741	50.7554	8.68786e+08	1.05226e+06	981.211	49.5244	8.71887e+08	1.05269e+06
0.10225	980.446	51.5258	8.66848e+08	1.052e+06	980.913	50.3043	8.69922e+08	1.05242e+06
