x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.0025	999.962	0.100405	9.99734e+08	1.07055e+06	1000	0	1e+09	1.07059e+06
0.0075	999.927	0.192734	9.99489e+08	1.07052e+06	1000	0	1e+09	1.07059e+06
0.0125	999.884	0.307964	9.99183e+08	1.07047e+06	1000	0	1e+09	1.07059e+06
0.0175	999.813	0.496792	9.98682e+08	1.0704e+06	1000	0	1e+09	1.07059e+06
0.0225	999.706	0.779479	9.97933e+08	1.07029e+06	1000	0	1e+09	1.07059e+06
0.0275	999.549	1.19758	9.96825e+08	1.07014e+06	1000	0	1e+09	1.07059e+06
0.0325	999.322	1.79819	9.95234e+08	1.06991e+06	1000	0	1e+09	1.07059e+06
0.0375	999.005	2.63845	9.93009e+08	1.0696e+06	1000	0	1e+09	1.07059e+06
0.0425	998.574	3.78177	9.89986e+08	1.06917e+06	1000	0	1e+09	1.07059e+06
0.0475	998.003	5.29455	9.85992e+08	1.0686e+06	1000	0	1e+09	1.07059e+06
0.0525	997.268	7.24083	9.80862e+08	1.06788e+06	1000	0	1e+09	1.07059e+06
0.0575	996.348	9.67628	9.74458e+08	1.06697e+06	1000	0	1e+09	1.07059e+06
0.0625	995.227	12.6425	9.6668e+08	1.06588e+06	1000	0	1e+09	1.07059e+06
0.0675	993.896	16.1624	9.5748e+08	1.06458e+06	1000	0	1e+09	1.07059e+06
0.0725	992.352	20.2385	9.46869e+08	1.06309e+06	998.53	3.89886	9.89676e+08	1.06912e+06
0.0775	990.603	24.8528	9.3491e+08	1.06142e+06	995.584	11.6981	9.69146e+08	1.06622e+06
0.0825	988.66	29.9707	9.21712e+08	1.05958e+06	992.633	19.4973	9.4878e+08	1.06336e+06
0.0875	986.541	35.5449	9.07417e+08	1.05759e+06	989.675	27.2966	9.28576e+08	1.06053e+06
0.0925	984.265	41.5218	8.92181e+08	1.05548e+06	986.711	35.0958	9.08536e+08	1.05774e+06
0.0975	981.853	47.8469	8.76159e+08	1.05328e+06	983.741	42.8951	8.88657e+08	1.05499e+06
0.1025	979.322	54.4692	8.59498e+08	1.051e+06	980.764	50.6943	8.6894e+08	1.05228e+06
0.1075	976.69	61.3454	8.42321e+08	1.04866e+06	977.781	58.4935	8.49384e+08	1.04961e+06
0.1125	973.968	68.4424	8.24721e+08	1.04627e+06	974.792	66.2928	8.29989e+08	1.04698e+06
0.1175	971.164	75.7416	8.06758e+08	1.04385e+06	971.796	74.092	8.10753e+08	1.04438e+06
0.1225	968.286	83.2087	7.88513e+08	1.04141e+06	968.794	81.8913	7.91678e+08	1.04183e+06
0.1275	965.38	90.7273	7.70269e+08	1.03899e+06	965.785	89.6905	7.72761e+08	1.03931e+06
0.1325	962.469	98.2581	7.5218e+08	1.03661e+06	962.77	97.4898	7.54003e+08	1.03684e+06
0.1375	959.552	105.786	7.3424e+08	1.03426e+06	959.748	105.289	7.35403e+08	1.0344e+06
0.1425	956.63	113.308	7.16461e+08	1.03195e+06	956.72	113.088	7.16961e+08	1.03201e+06
0.1475	953.706	120.822	6.98846e+08	1.02968e+06	953.684	120.887	6.98676e+08	1.02965e+06
0.1525	950.779	128.325	6.81401e+08	1.02745e+06	950.642	128.687	6.80547e+08	1.02734e+06
0.1575	947.85	135.818	6.64126e+08	1.02527e+06	947.594	136.486	6.62575e+08	1.02507e+06
0.1625	944.92	143.297	6.47023e+08	1.02312e+06	944.538	144.285	6.44758e+08	1.02283e+06
0.1675	941.989	150.764	6.30092e+08	1.02102e+06	941.475	152.084	6.27097e+08	1.02064e+06
0.1725	939.056	158.218	6.13333e+08	1.01896e+06	938.405	159.884	6.0959e+08	1.0185e+06
0.1775	936.123	165.658	5.96746e+08	1.01694e+06	935.329	167.683	5.92237e+08	1.01639e+06
0.1825	933.188	173.084	5.80328e+08	1.01497e+06	932.245	175.482	5.75038e+08	1.01433e+06
0.1875	930.252	180.497	5.64078e+08	1.01303e+06	929.154	183.281	5.57992e+08	1.0123e+06
0.1925	927.316	187.896	5.47996e+08	1.01114e+06	926.056	191.081	5.41098e+08	1.01032e+06
0.1975	924.377	195.282	5.32079e+08	1.00929e+06	922.95	198.88	5.24357e+08	1.00839e+06
0.2025	921.438	202.655	5.16326e+08	1.00748e+06	919.837	206.679	5.07767e+08	1.0065e+06
0.2075	918.497	210.016	5.00735e+08	1.00571e+06	916.717	214.478	4.91328e+08	1.00465e+06
0.2125	915.554	217.364	4.85303e+08	1.00399e+06	913.589	222.278	4.7504e+08	1.00284e+06
0.2175	912.609	224.701	4.70028e+08	1.00231e+06	910.454	230.077	4.58902e+08	1.00108e+06
0.2225	909.662	232.028	4.54908e+08	1.00067e+06	907.311	237.876	4.42913e+08	999369
0.2275	906.712	239.343	4.39941e+08	999066	904.161	245.675	4.27073e+08	997699
0.2325	903.759	246.65	4.25124e+08	997508	901.003	253.475	4.11382e+08	996074
0.2375	900.803	253.947	4.10456e+08	995992	897.837	261.274	3.95839e+08	994494
0.2425	897.844	261.236	3.95934e+08	994517	894.663	269.073	3.80443e+08	992961
0.2475	894.881	268.518	3.81555e+08	993084	891.482	276.872	3.65194e+08	991474
0.2525	891.914	275.792	3.67318e+08	991693	888.292	284.672	3.50092e+08	990033
0.2575	888.943	283.06	3.53221e+08	990344	885.095	292.471	3.35136e+08	988640
0.2625	885.967	290.322	3.39262e+08	989036	881.889	300.27	3.20325e+08	987294
0.2675	882.987	297.579	3.2544e+08	987771	878.675	308.069	3.05658e+08	985996
0.2725	880.001	304.831	3.11752e+08	986547	875.453	315.869	2.91136e+08	984746
0.2775	877.01	312.078	2.98198e+08	985366	872.222	323.668	2.76758e+08	983545
0.2825	874.014	319.321	2.84777e+08	984227	868.984	331.467	2.62523e+08	982393
0.2875	871.012	326.559	2.71487e+08	983132	865.736	339.266	2.48431e+08	981290
0.2925	868.006	333.792	2.5833e+08	982079	862.48	347.065	2.34481e+08	980238
0.2975	864.994	341.021	2.45304e+08	981069	859.216	354.865	2.20673e+08	979235
0.3025	861.977	348.243	2.3241e+08	980104	855.943	362.664	2.07005e+08	978283
0.3075	858.955	355.459	2.1965e+08	979182	852.661	370.463	1.93479e+08	977383
0.3125	855.931	362.665	2.07028e+08	978305	849.37	378.262	1.80092e+08	976534
0.3175	852.904	369.858	1.94546e+08	977473	846.07	386.062	1.66845e+08	975738
0.3225	849.876	377.035	1.82213e+08	976687	842.761	393.861	1.53737e+08	974994
0.3275	846.851	384.188	1.70038e+08	975947	839.443	401.66	1.40767e+08	974304
0.3325	843.831	391.311	1.58032e+08	975255	836.116	409.459	1.27935e+08	973667
0.3375	840.822	398.391	1.46212e+08	974611	832.779	417.259	1.1524e+08	973085
0.3425	837.829	405.414	1.34599e+08	974015	829.434	425.058	1.02683e+08	972557
0.3475	834.862	412.361	1.23222e+08	973469	826.078	432.857	9.0261e+07	972085
0.3525	831.93	419.207	1.12117e+08	972974	822.713	440.656	7.79751e+07	971668
0.3575	829.048	425.92	1.0133e+08	972529	819.339	448.456	6.58243e+07	971308
0.3625	826.233	432.461	9.09155e+07	972136	815.955	456.255	5.3808e+07	971006
0.3675	823.505	438.786	8.09372e+07	971792	812.56	464.054	4.19258e+07	970761
0.3725	820.887	444.841	7.14675e+07	971499	809.156	471.853	3.0177e+07	970574
0.3775	818.404	450.57	6.25833e+07	971253	805.742	479.653	1.85611e+07	970447
0.3825	816.084	455.914	5.43619e+07	971051	804.445	482.61	1.41905e+07	970414
0.3875	813.951	460.817	4.68739e+07	970891	804.445	482.61	1.41905e+07	970414
0.3925	812.026	465.232	4.01763e+07	970765	804.445	482.61	1.41905e+07	970414
0.3975	810.326	469.126	3.43045e+07	970671	804.445	482.61	1.41905e+07	970414
0.4025	808.858	472.484	2.92674e+07	970601	804.445	482.61	1.41905e+07	970414
0.4075	807.62	475.313	2.50446e+07	970551	804.445	482.61	1.41905e+07	970414
0.4125	806.602	477.637	2.15874e+07	970516	804.445	482.61	1.41905e+07	970414
0.4175	805.784	479.5	1.88247e+07	970492	804.445	482.61	1.41905e+07	970414
0.4225	805.145	480.956	1.667e+07	970476	804.445	482.61	1.41905e+07	970414
0.4275	804.657	482.067	1.50306e+07	970465	804.445	482.61	1.41905e+07	970414
0.4325	804.294	482.892	1.38147e+07	970458	804.445	482.61	1.41905e+07	970414
0.4375	804.032	483.487	1.29376e+07	970454	804.445	482.61	1.41905e+07	970414
0.4425	803.848	483.904	1.23245e+07	970451	804.445	482.61	1.41905e+07	970414
0.4475	803.724	484.185	1.19122e+07	970450	804.445	482.61	1.41905e+07	970414
0.4525	803.644	484.364	1.16484e+07	970450	804.445	482.61	1.41905e+07	970414
0.4575	803.596	484.472	1.1491e+07	970451	804.445	482.61	1.41905e+07	970414
0.4625	803.57	484.529	1.14066e+07	970452	804.445	482.61	1.41905e+07	970414
0.4675	803.557	484.555	1.13692e+07	970453	804.445	482.61	1.41905e+07	970414
0.4725	803.553	484.563	1.13586e+07	970454	804.445	482.61	1.41905e+07	970414
0.4775	803.552	484.562	1.13609e+07	970456	804.445	482.61	1.41905e+07	970414
0.4825	803.558	484.547	1.13831e+07	970457	804.445	482.61	1.41905e+07	970414
0.4875	803.573	484.509	1.14388e+07	970459	804.445	482.61	1.41905e+07	970414
0.4925	803.599	484.446	1.15322e+07	970462	804.445	482.61	1.41905e+07	970414
0.4975	803.634	484.366	1.16512e+07	970464	804.445	482.61	1.41905e+07	970414
0.5025	803.665	484.291	1.17615e+07	970466	804.445	482.61	1.41905e+07	970414
0.5075	803.693	484.223	1.18616e+07	970469	804.445	482.61	1.41905e+07	970414
0.5125	803.72	484.159	1.19561e+07	970472	804.445	482.61	1.41905e+07	970414
0.5175	803.745	484.097	1.20478e+07	970474	804.445	482.61	1.41905e+07	970414
0.5225	803.77	484.037	1.21381e+07	970477	804.445	482.61	1.41905e+07	970414
0.5275	803.795	483.976	1.22277e+07	970480	804.445	482.61	1.41905e+07	970414
0.5325	803.819	483.917	1.23159e+07	970483	804.445	482.61	1.41905e+07	970414
0.5375	803.843	483.859	1.24011e+07	970486	804.445	482.61	1.41905e+07	970414
0.5425	803.865	483.804	1.24823e+07	970489	804.445	482.61	1.41905e+07	970414
0.5475	803.885	483.753	1.25587e+07	970492	804.445	482.61	1.41905e+07	970414
0.5525	803.904	483.704	1.26307e+07	970496	804.445	482.61	1.41905e+07	970414
0.5575	803.922	483.658	1.26996e+07	970499	804.445	482.61	1.41905e+07	970414
0.5625	803.939	483.613	1.27671e+07	970503	804.445	482.61	1.41905e+07	970414
0.5675	803.956	483.568	1.28341e+07	970507	804.445	482.61	1.41905e+07	970414
0.5725	803.973	483.523	1.29004e+07	970511	804.445	482.61	1.41905e+07	970414
0.5775	803.989	483.48	1.29646e+07	970515	804.445	482.61	1.41905e+07	970414
0.5825	804.004	483.439	1.30253e+07	970520	804.445	482.61	1.41905e+07	970414
0.5875	804.017	483.402	1.30813e+07	970524	804.445	482.61	1.41905e+07	970414
0.5925	804.028	483.368	1.3132e+07	970529	804.445	482.61	1.41905e+07	970414
0.5975	804.038	483.338	1.31776e+07	970535	804.445	482.61	1.41905e+07	970414
0.6025	804.046	483.311	1.32187e+07	970540	804.445	482.61	1.41905e+07	970414
0.6075	804.052	483.286	1.32559e+07	970546	804.445	482.61	1.41905e+07	970414
0.6125	804.057	483.263	1.329e+07	970552	804.445	482.61	1.41905e+07	970414
0.6175	804.062	483.242	1.33216e+07	970558	804.445	482.61	1.41905e+07	970414
0.6225	804.065	483.222	1.33515e+07	970565	804.445	482.61	1.41905e+07	970414
0.6275	804.068	483.203	1.33803e+07	970573	804.445	482.61	1.41905e+07	970414
0.6325	804.07	483.185	1.34084e+07	970580	804.445	482.61	1.41905e+07	970414
0.6375	804.071	483.167	1.34361e+07	970589	804.445	482.61	1.41905e+07	970414
0.6425	804.072	483.149	1.34641e+07	970598	804.445	482.61	1.41905e+07	970414
0.6475	804.073	483.13	1.34932e+07	970608	804.445	482.61	1.41905e+07	970414
0.6525	804.073	483.11	1.35236e+07	970618	804.445	482.61	1.41905e+07	970414
0.6575	804.074	483.089	1.3555e+07	970629	804.445	482.61	1.41905e+07	970414
0.6625	804.072	483.07	1.35844e+07	970641	804.445	482.61	1.41905e+07	970414
0.6675	804.07	483.052	1.36118e+07	970654	804.445	482.61	1.41905e+07	970414
0.6725	804.066	483.035	1.36379e+07	970669	804.445	482.61	1.41905e+07	970414
0.6775	804.061	483.019	1.36629e+07	970684	804.445	482.61	1.41905e+07	970414
0.6825	804.054	483.003	1.36877e+07	970701	804.445	482.61	1.41905e+07	970414
0.6875	804.047	482.988	1.37124e+07	970719	804.445	482.61	1.41905e+07	970414
0.6925	804.037	482.972	1.37359e+07	970740	804.445	482.61	1.41905e+07	970414
0.6975	804.025	482.958	1.37582e+07	970762	804.445	482.61	1.41905e+07	970414
0.7025	804.011	482.944	1.37796e+07	970787	804.445	482.61	1.41905e+07	970414
0.7075	803.994	482.93	1.38013e+07	970815	804.445	482.61	1.41905e+07	970414
0.7125	803.976	482.916	1.38227e+07	970845	804.445	482.61	1.41905e+07	970414
0.7175	803.953	482.904	1.38421e+07	970879	804.445	482.61	1.41905e+07	970414
0.7225	803.927	482.893	1.38599e+07	970918	804.445	482.61	1.41905e+07	970414
0.7275	803.897	482.883	1.3877e+07	970960	804.445	482.61	1.41905e+07	970414
0.7325	803.862	482.873	1.38935e+07	971009	804.445	482.61	1.41905e+07	970414
0.7375	803.82	482.863	1.39098e+07	971065	804.445	482.61	1.41905e+07	970414
0.7425	803.771	482.852	1.39268e+07	971131	804.445	482.61	1.41905e+07	970414
0.7475	803.711	482.841	1.39445e+07	971210	804.445	482.61	1.41905e+07	970414
0.7525	803.633	482.829	1.39645e+07	971311	804.445	482.61	1.41905e+07	970414
0.7575	803.523	482.817	1.39832e+07	971451	804.445	482.61	1.41905e+07	970414
0.7625	803.359	482.811	1.39925e+07	971653	804.445	482.61	1.41905e+07	970414
0.7675	803.274	482.806	1.40046e+07	971760	804.445	482.61	1.41905e+07	970414
0.7725	803.289	482.792	1.40265e+07	971750	804.445	482.61	1.41905e+07	970414
0.7775	803.403	482.788	1.40349e+07	971615	804.445	482.61	1.41905e+07	970414
0.7825	803.756	482.78	1.4049e+07	971193	804.445	482.61	1.41905e+07	970414
0.7875	804.504	482.775	1.40582e+07	970294	804.445	482.61	1.41905e+07	970414
0.7925	805.762	482.762	1.40789e+07	968786	804.445	482.61	1.41905e+07	970414
0.7975	806.729	482.754	1.40915e+07	967630	804.445	482.61	1.41905e+07	970414
0.8025	806.956	482.756	1.40929e+07	967358	804.445	482.61	1.41905e+07	970414
0.8075	806.853	482.759	1.40894e+07	967480	804.445	482.61	1.41905e+07	970414
0.8125	807.586	482.736	1.41459e+07	966623	804.445	482.61	1.41905e+07	970414
0.8175	223.012	482.315	1.40884e+07	157933	288.168	482.61	1.41905e+07	123109
0.8225	222.921	481.555	1.40803e+07	157907	288.168	482.61	1.41905e+07	123109
0.8275	226.983	481.029	1.40885e+07	155171	288.168	482.61	1.41905e+07	123109
0.8325	237.873	480.463	1.40651e+07	147821	288.168	482.61	1.41905e+07	123109
0.8375	247.983	475.46	1.38182e+07	139307	288.168	482.61	1.41905e+07	123109
0.8425	251.859	469.005	1.33169e+07	132186	50	0	100000	5000
0.8475	248.36	450.386	1.1947e+07	120259	50	0	100000	5000
0.8525	202.787	378.023	7.9655e+06	98200.1	50	0	100000	5000
0.8575	95.9762	167.712	1.82493e+06	47535.9	50	0	100000	5000
0.8625	54.964	15.4207	163868	7453.44	50	0	100000	5000
0.8675	50.1751	0.213955	100543	5009.61	50	0	100000	5000
0.8725	50.0017	0.00174966	100005	5000.07	50	0	100000	5000
0.8775	50	1.43996e-05	100000	5000	50	0	100000	5000
0.8825	50	1.18634e-07	100000	5000	50	0	100000	5000
0.8875	50	9.80179e-10	100000	5000	50	0	100000	5000
0.8925	50	8.10618e-12	100000	5000	50	0	100000	5000
0.8975	50	6.6393e-14	100000	5000	50	0	100000	5000
0.9025	50	3.86708e-16	100000	5000	50	0	100000	5000
0.9075	50	0	100000	5000	50	0	100000	5000
0.9125	50	0	100000	5000	50	0	100000	5000
0.9175	50	0	100000	5000	50	0	100000	5000
