x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.0001	1000	2.94243e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0003	1000	3.08917e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0005	1000	3.29518e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0007	1000	3.52969e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0009	1000	3.78459e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0011	1000	4.05837e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0013	1000	4.35145e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0015	1000	4.66487e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0017	1000	4.99989e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0019	1000	5.3579e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0021	1000	5.7404e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0023	1000	6.14897e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0025	1000	6.5853e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0027	1000	7.05118e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0029	1000	7.5485e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0031	1000	8.07928e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0033	1000	8.64564e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0035	1000	9.24985e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0037	1000	9.8943e-05	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0039	1000	0.000105815	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0041	1000	0.000113142	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0043	1000	0.000120952	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0045	1000	0.000129275	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0047	1000	0.000138144	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0049	1000	0.000147591	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0051	1000	0.000157652	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0053	1000	0.000168366	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0055	1000	0.000179772	1e+09	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0057	1000	0.000191911	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0059	1000	0.00020483	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0061	1000	0.000218575	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0063	1000	0.000233195	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0065	1000	0.000248743	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0067	1000	0.000265274	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0069	1000	0.000282848	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0071	1000	0.000301525	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0073	1000	0.000321372	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0075	1000	0.000342456	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0077	1000	0.00036485	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0079	1000	0.000388631	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0081	1000	0.000413879	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0083	1000	0.000440679	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0085	1000	0.000469121	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0087	1000	0.000499298	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0089	1000	0.00053131	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0091	1000	0.000565262	9.99999e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0093	1000	0.000601263	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0095	1000	0.000639428	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0097	1000	0.000679881	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0099	1000	0.000722747	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0101	1000	0.000768163	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0103	1000	0.00081627	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0105	1000	0.000867215	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0107	1000	0.000921156	9.99998e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0109	1000	0.000978257	9.99997e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0111	1000	0.00103869	9.99997e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0113	1000	0.00110263	9.99997e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0115	1000	0.00117028	9.99997e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0117	1000	0.00124183	9.99997e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0119	1000	0.00131749	9.99997e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
