x	rho	u	p	e
0.00025	1	0	1	2.5
0.00075	1	0	1	2.5
0.00125	1	0	1	2.5
0.00175	1	0	1	2.5
0.00225	1	0	1	2.5
0.00275	1	0	1	2.5
0.00325	1	0	1	2.5
0.00375	1	0	1	2.5
0.00425	1	0	1	2.5
0.00475	1	0	1	2.5
0.00525	1	0	1	2.5
0.00575	1	0	1	2.5
0.00625	1	0	1	2.5
0.00675	1	0	1	2.5
0.00725	1	0	1	2.5
0.00775	1	0	1	2.5
0.00825	1	0	1	2.5
0.00875	1	0	1	2.5
0.00925	1	0	1	2.5
0.00975	1	0	1	2.5
0.01025	1	0	1	2.5
0.01075	1	0	1	2.5
0.01125	1	0	1	2.5
0.01175	1	0	1	2.5
0.01225	1	0	1	2.5
0.01275	1	0	1	2.5
0.01325	1	0	1	2.5
0.01375	1	0	1	2.5
0.01425	1	0	1	2.5
0.01475	1	0	1	2.5
0.01525	1	0	1	2.5
0.01575	1	0	1	2.5
0.01625	1	0	1	2.5
0.01675	1	0	1	2.5
0.01725	1	0	1	2.5
0.01775	1	0	1	2.5
0.01825	1	0	1	2.5
0.01875	1	0	1	2.5
0.01925	1	0	1	2.5
0.01975	1	0	1	2.5
0.02025	1	0	1	2.5
0.02075	1	0	1	2.5
0.02125	1	0	1	2.5
0.02175	1	0	1	2.5
0.02225	1	0	1	2.5
0.02275	1	0	1	2.5
0.02325	1	0	1	2.5
0.02375	1	0	1	2.5
0.02425	1	0	1	2.5
0.02475	1	0	1	2.5
0.02525	1	0	1	2.5
0.02575	1	0	1	2.5
0.02625	1	0	1	2.5
0.02675	1	0	1	2.5
0.02725	1	0	1	2.5
0.02775	1	0	1	2.5
0.02825	1	0	1	2.5
0.02875	1	0	1	2.5
0.02925	1	0	1	2.5
0.02975	1	0	1	2.5
0.03025	1	0	1	2.5
0.03075	1	0	1	2.5
0.03125	1	0	1	2.5
0.03175	1	0	1	2.5
0.03225	1	0	1	2.5
0.03275	1	0	1	2.5
0.03325	1	0	1	2.5
0.03375	1	0	1	2.5
0.03425	1	0	1	2.5
0.03475	1	0	1	2.5
0.03525	1	0	1	2.5
0.03575	1	0	1	2.5
0.03625	1	0	1	2.5
0.03675	1	0	1	2.5
0.03725	1	0	1	2.5
0.03775	1	0	1	2.5
0.03825	1	0	1	2.5
0.03875	1	0	1	2.5
0.03925	1	0	1	2.5
0.03975	1	0	1	2.5
0.04025	1	0	1	2.5
0.04075	1	0	1	2.5
0.04125	1	0	1	2.5
0.04175	1	0	1	2.5
0.04225	1	0	1	2.5
0.04275	1	0	1	2.5
0.04325	1	0	1	2.5
0.04375	1	0	1	2.5
0.04425	1	0	1	2.5
0.04475	1	0	1	2.5
0.04525	1	0	1	2.5
0.04575	1	0	1	2.5
0.04625	1	0	1	2.5
0.04675	1	0	1	2.5
0.04725	1	0	1	2.5
0.04775	1	0	1	2.5
0.04825	1	1.74133e-17	1	2.5
0.04875	1	6.85684e-17	1	2.5
0.04925	1	1.53466e-16	1	2.5
0.04975	1	1.70882e-16	1	2.5
0.05025	1	2.38367e-16	1	2.5
0.05075	1	1.70886e-16	1	2.5
0.05125	1	1.02322e-16	1	2.5
0.05175	1	1.36067e-16	1	2.5
0.05225	1	1.53479e-16	1	2.5
0.05275	1	2.04634e-16	1	2.5
