x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.0025	1	0	1	2.5	1	0	1	2.5
0.0075	1	0	1	2.5	1	0	1	2.5
0.0125	1	0	1	2.5	1	0	1	2.5
0.0175	1	0	1	2.5	1	0	1	2.5
0.0225	1	0	1	2.5	1	0	1	2.5
0.0275	1	0	1	2.5	1	0	1	2.5
0.0325	1	0	1	2.5	1	0	1	2.5
0.0375	1	1.12515e-17	1	2.5	1	0	1	2.5
0.0425	1	2.66984e-16	1	2.5	1	0	1	2.5
0.0475	1	1.50574e-15	1	2.5	1	0	1	2.5
0.0525	1	7.67549e-15	1	2.5	1	0	1	2.5
0.0575	1	3.81089e-14	1	2.5	1	0	1	2.5
0.0625	1	1.81532e-13	1	2.5	1	0	1	2.5
0.0675	1	8.23716e-13	1	2.5	1	0	1	2.5
0.0725	1	3.58713e-12	1	2.5	1	0	1	2.5
0.0775	1	1.49786e-11	1	2.5	1	0	1	2.5
0.0825	1	5.99952e-11	1	2.5	1	0	1	2.5
0.0875	1	2.30521e-10	1	2.5	1	0	1	2.5
0.0925	1	8.49718e-10	1	2.5	1	0	1	2.5
0.0975	1	3.00475e-09	1	2.5	1	0	1	2.5
0.1025	1	1.01926e-08	1	2.5	1	0	1	2.5
0.1075	1	3.31633e-08	1	2.5	1	0	1	2.5
0.1125	1	1.03476e-07	1	2.5	1	0	1	2.5
0.1175	1	3.09546e-07	1	2.5	1	0	1	2.5
0.1225	0.999999	8.87491e-07	0.999999	2.5	1	0	1	2.5
0.1275	0.999998	2.43766e-06	0.999997	2.5	1	0	1	2.5
0.1325	0.999995	6.41103e-06	0.999992	2.49999	1	0	1	2.5
0.1375	0.999986	1.61345e-05	0.999981	2.49999	1	0	1	2.5
0.1425	0.999967	3.88269e-05	0.999954	2.49997	1	0	1	2.5
0.1475	0.999925	8.92664e-05	0.999894	2.49992	1	0	1	2.5
0.1525	0.999834	0.000195883	0.999768	2.49983	1	0	1	2.5
0.1575	0.999654	0.00040983	0.999515	2.49965	1	0	1	2.5
0.1625	0.99931	0.000816661	0.999034	2.49931	1	0	1	2.5
0.1675	0.998692	0.00154839	0.998169	2.49869	1	0	1	2.5
0.1725	0.997643	0.00279121	0.996702	2.49764	1	0	1	2.5
0.1775	0.995964	0.00478232	0.994355	2.49596	1	0	1	2.5
0.1825	0.993432	0.0077902	0.990818	2.49342	1	0	1	2.5
0.1875	0.989831	0.0120781	0.985795	2.48981	1	0	1	2.5
0.1925	0.984994	0.0178582	0.979058	2.48493	1	0	1	2.5
0.1975	0.978833	0.0252519	0.970497	2.47871	1	0	1	2.5
0.2025	0.97136	0.0342691	0.960143	2.47113	1	0	1	2.5
0.2075	0.96268	0.0448143	0.948155	2.46228	0.990727	0.0110133	0.987041	2.4907
0.2125	0.952958	0.0567156	0.93478	2.45231	0.976824	0.02768	0.967705	2.47666
0.2175	0.942389	0.0697644	0.920302	2.44141	0.963078	0.0443466	0.948694	2.46266
0.2225	0.931162	0.0837561	0.904992	2.42974	0.949487	0.0610133	0.930004	2.4487
