x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.00125	1	0	1	2.5	1	0	1	2.5
0.00375	1	0	1	2.5	1	0	1	2.5
0.00625	1	0	1	2.5	1	0	1	2.5
0.00875	1	0	1	2.5	1	0	1	2.5
0.01125	1	0	1	2.5	1	0	1	2.5
0.01375	1	0	1	2.5	1	0	1	2.5
0.01625	1	0	1	2.5	1	0	1	2.5
0.01875	1	0	1	2.5	1	0	1	2.5
0.02125	1	0	1	2.5	1	0	1	2.5
0.02375	1	0	1	2.5	1	0	1	2.5
0.02625	1	0	1	2.5	1	0	1	2.5
0.02875	1	0	1	2.5	1	0	1	2.5
0.03125	1	0	1	2.5	1	0	1	2.5
0.03375	1	0	1	2.5	1	0	1	2.5
0.03625	1	0	1	2.5	1	0	1	2.5
0.03875	1	0	1	2.5	1	0	1	2.5
0.04125	1	0	1	2.5	1	0	1	2.5
0.04375	1	0	1	2.5	1	0	1	2.5
0.04625	1	0	1	2.5	1	0	1	2.5
0.04875	1	0	1	2.5	1	0	1	2.5
0.05125	1	0	1	2.5	1	0	1	2.5
0.05375	1	0	1	2.5	1	0	1	2.5
0.05625	1	0	1	2.5	1	0	1	2.5
0.05875	1	0	1	2.5	1	0	1	2.5
0.06125	1	0	1	2.5	1	0	1	2.5
0.06375	1	0	1	2.5	1	0	1	2.5
0.06625	1	0	1	2.5	1	0	1	2.5
0.06875	1	0	1	2.5	1	0	1	2.5
0.07125	1	0	1	2.5	1	0	1	2.5
0.07375	1	0	1	2.5	1	0	1	2.5
0.07625	1	0	1	2.5	1	0	1	2.5
0.07875	1	0	1	2.5	1	0	1	2.5
0.08125	1	0	1	2.5	1	0	1	2.5
0.08375	1	0	1	2.5	1	0	1	2.5
0.08625	1	0	1	2.5	1	0	1	2.5
0.08875	1	0	1	2.5	1	0	1	2.5
0.09125	1	0	1	2.5	1	0	1	2.5
0.09375	1	0	1	2.5	1	0	1	2.5
0.09625	1	0	1	2.5	1	0	1	2.5
0.09875	1	0	1	2.5	1	0	1	2.5
0.10125	1	1.8243e-17	1	2.5	1	0	1	2.5
0.10375	1	3.82967e-16	1	2.5	1	0	1	2.5
0.10625	1	1.81451e-15	1	2.5	1	0	1	2.5
0.10875	1	6.46474e-15	1	2.5	1	0	1	2.5
0.11125	1	2.14548e-14	1	2.5	1	0	1	2.5
0.11375	1	6.90419e-14	1	2.5	1	0	1	2.5
0.11625	1	2.16563e-13	1	2.5	1	0	1	2.5
