x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.005	1	1.29305e-12	1	2.5	1	0	1	2.5
0.015	1	9.90088e-12	1	2.5	1	0	1	2.5
0.025	1	6.65809e-11	1	2.5	1	0	1	2.5
0.035	1	4.10808e-10	1	2.5	1	0	1	2.5
0.045	1	2.32959e-09	1	2.5	1	0	1	2.5
0.055	1	1.21605e-08	1	2.5	1	0	1	2.5
0.065	1	5.85064e-08	1	2.5	1	0	1	2.5
0.075	1	2.59681e-07	1	2.5	1	0	1	2.5
0.085	0.999999	1.06397e-06	0.999999	2.5	1	0	1	2.5
0.095	0.999997	4.02536e-06	0.999995	2.5	1	0	1	2.5
0.105	0.999988	1.40617e-05	0.999983	2.49999	1	0	1	2.5
0.115	0.999962	4.53369e-05	0.999946	2.49996	1	0	1	2.5
0.125	0.999886	0.000134806	0.999841	2.49989	1	0	1	2.5
0.135	0.999688	0.000369259	0.999563	2.49969	1	0	1	2.5
0.145	0.999214	0.000930586	0.998899	2.49921	1	0	1	2.5
0.155	0.99818	0.00215508	0.997453	2.49818	1	0	1	2.5
0.165	0.996132	0.00458321	0.99459	2.49613	1	0	1	2.5
0.175	0.992452	0.00895561	0.989451	2.49244	1	0	1	2.5
0.185	0.986449	0.0161141	0.981086	2.48641	1	0	1	2.5
0.195	0.977528	0.0268141	0.968694	2.47741	1	0	1	2.5
0.205	0.965367	0.0415235	0.951875	2.46506	0.997737	0.00267996	0.996833	2.49774
0.215	0.950008	0.0603124	0.930754	2.44933	0.969932	0.0360133	0.958159	2.46966
0.225	0.93181	0.0828911	0.905906	2.4305	0.942749	0.0693466	0.920778	2.44173
0.235	0.91129	0.108779	0.87812	2.409	0.91618	0.10268	0.884653	2.41397
0.245	0.888904	0.13756	0.848091	2.38521	0.890213	0.136013	0.849751	2.38637
0.255	0.865178	0.168751	0.816591	2.3596	0.864839	0.169347	0.816036	2.35892
0.265	0.841532	0.200535	0.785482	2.33349	0.840046	0.20268	0.783473	2.33164
0.275	0.818274	0.232487	0.755265	2.30749	0.815825	0.236013	0.752031	2.30451
0.285	0.795449	0.264531	0.725949	2.28157	0.792166	0.269347	0.721677	2.27754
0.295	0.773097	0.296656	0.697557	2.25572	0.769059	0.30268	0.692379	2.25073
0.305	0.751214	0.32884	0.670071	2.22996	0.746495	0.336013	0.664106	2.22408
0.315	0.729789	0.36107	0.643478	2.20433	0.724463	0.369347	0.636829	2.19759
0.325	0.708822	0.39334	0.61776	2.17883	0.702955	0.40268	0.610518	2.17126
0.335	0.688325	0.425645	0.592901	2.15342	0.68196	0.436013	0.585144	2.14508
0.345	0.668291	0.457981	0.568881	2.12812	0.66147	0.469347	0.560679	2.11906
0.355	0.648702	0.490345	0.545683	2.10298	0.641476	0.50268	0.537097	2.09321
0.365	0.629553	0.522731	0.523289	2.07802	0.621968	0.536013	0.51437	2.06751
0.375	0.610879	0.555133	0.501681	2.05311	0.602938	0.569347	0.492472	2.04197
0.385	0.592639	0.587537	0.480839	2.02838	0.584376	0.60268	0.471378	2.01659
0.395	0.574828	0.619933	0.460746	2.00384	0.566274	0.636013	0.451063	1.99136
0.405	0.557463	0.652303	0.441389	1.97945	0.548624	0.669347	0.431504	1.9663
0.415	0.540546	0.684627	0.422759	1.95524	0.531417	0.70268	0.412676	1.9414
0.425	0.524087	0.716872	0.40485	1.93122	0.514644	0.736013	0.394556	1.91665
0.435	0.5081	0.748982	0.387669	1.90745	0.498297	0.769347	0.377123	1.89206
