x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.0001	1	-2	0.4	1	1	-2	0.4	1
0.0003	1	-2	0.4	1	1	-2	0.4	1
0.0005	1	-2	0.4	1	1	-2	0.4	1
0.0007	1	-2	0.4	1	1	-2	0.4	1
0.0009	1	-2	0.4	1	1	-2	0.4	1
0.0011	1	-2	0.4	1	1	-2	0.4	1
0.0013	1	-2	0.4	1	1	-2	0.4	1
0.0015	1	-2	0.4	1	1	-2	0.4	1
0.0017	1	-2	0.4	1	1	-2	0.4	1
0.0019	1	-2	0.4	1	1	-2	0.4	1
0.0021	1	-2	0.4	1	1	-2	0.4	1
0.0023	1	-2	0.4	1	1	-2	0.4	1
0.0025	1	-2	0.4	1	1	-2	0.4	1
0.0027	1	-2	0.4	1	1	-2	0.4	1
0.0029	1	-2	0.4	1	1	-2	0.4	1
0.0031	1	-2	0.4	1	1	-2	0.4	1
0.0033	1	-2	0.4	1	1	-2	0.4	1
0.0035	1	-2	0.4	1	1	-2	0.4	1
0.0037	1	-2	0.4	1	1	-2	0.4	1
0.0039	1	-2	0.4	1	1	-2	0.4	1
0.0041	1	-2	0.4	1	1	-2	0.4	1
0.0043	1	-2	0.4	1	1	-2	0.4	1
0.0045	1	-2	0.4	1	1	-2	0.4	1
0.0047	1	-2	0.4	1	1	-2	0.4	1
0.0049	1	-2	0.4	1	1	-2	0.4	1
0.0051	1	-2	0.4	1	1	-2	0.4	1
0.0053	1	-2	0.4	1	1	-2	0.4	1
0.0055	1	-2	0.4	1	1	-2	0.4	1
0.0057	1	-2	0.4	1	1	-2	0.4	1
0.0059	1	-2	0.4	1	1	-2	0.4	1
0.0061	1	-2	0.4	1	1	-2	0.4	1
0.0063	1	-2	0.4	1	1	-2	0.4	1
0.0065	1	-2	0.4	1	1	-2	0.4	1
0.0067	1	-2	0.4	1	1	-2	0.4	1
0.0069	1	-2	0.4	1	1	-2	0.4	1
0.0071	1	-2	0.4	1	1	-2	0.4	1
0.0073	1	-2	0.4	1	1	-2	0.4	1
0.0075	1	-2	0.4	1	1	-2	0.4	1
0.0077	1	-2	0.4	1	1	-2	0.4	1
0.0079	1	-2	0.4	1	1	-2	0.4	1
0.0081	1	-2	0.4	1	1	-2	0.4	1
0.0083	1	-2	0.4	1	1	-2	0.4	1
0.0085	1	-2	0.4	1	1	-2	0.4	1
