x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.005	0.999939	0.00229829	999.914	2499.94	1	0	1000	2500
0.015	0.999681	0.011946	999.553	2499.68	1	0	1000	2500
0.025	0.998607	0.0521613	998.05	2498.61	1	0	1000	2500
0.035	0.993438	0.246066	990.828	2493.43	1	0	1000	2500
0.045	0.979827	0.760475	971.878	2479.72	1	0	1000	2500
0.055	0.964647	1.34127	950.865	2464.28	0.9926	0.2777	989.656	2492.58
0.065	0.949117	1.94245	929.503	2448.34	0.974287	0.972145	964.188	2474.09
0.075	0.933401	2.55994	908.028	2432.04	0.956245	1.66659	939.284	2455.66
0.085	0.917535	3.19155	886.498	2415.44	0.938471	2.36103	914.933	2437.3
0.095	0.901595	3.83443	865.019	2398.58	0.920963	3.05548	891.126	2419.01
0.105	0.885657	4.48665	843.691	2381.54	0.903717	3.74992	867.852	2400.78
0.115	0.869771	5.14648	822.586	2364.38	0.88673	4.44437	845.1	2382.63
0.125	0.853973	5.81213	801.747	2347.11	0.87	5.13881	822.862	2364.55
0.135	0.83829	6.48262	781.211	2329.78	0.853523	5.83326	801.127	2346.53
0.145	0.822747	7.15741	761.012	2312.41	0.837297	6.5277	779.886	2328.58
0.155	0.807357	7.83572	741.16	2295.02	0.821318	7.22214	759.13	2310.71
0.165	0.792126	8.51686	721.66	2277.61	0.805585	7.91659	738.849	2292.9
0.175	0.777065	9.20076	702.525	2260.19	0.790093	8.61103	719.034	2275.16
0.185	0.762184	9.88744	683.766	2242.79	0.774841	9.30548	699.677	2257.49
0.195	0.747481	10.5765	665.374	2225.39	0.759825	9.99992	680.768	2239.88
0.205	0.732955	11.2677	647.344	2207.99	0.745043	10.6944	662.298	2222.35
0.215	0.718613	11.9611	629.682	2190.61	0.730492	11.3888	644.26	2204.89
0.225	0.704455	12.6567	612.384	2173.25	0.716169	12.0833	626.645	2187.49
0.235	0.690478	13.3542	595.443	2155.91	0.702071	12.7777	609.444	2170.16
