x	rho	u	p	e
0.005	1.33323	111.808	149986	281245
0.015	1.33324	111.808	149987	281245
0.025	1.33324	111.806	149987	281246
0.035	1.33324	111.806	149988	281246
0.045	1.33324	111.805	149988	281247
0.055	1.33324	111.804	149988	281248
0.065	1.33324	111.804	149989	281248
0.075	1.33324	111.803	149989	281249
0.085	1.33324	111.802	149989	281251
0.095	1.33323	111.802	149990	281253
0.105	1.3332	111.801	149990	281260
0.115	1.33311	111.801	149990	281279
0.125	1.33287	111.8	149991	281329
0.135	1.33245	111.8	149991	281419
0.145	1.33196	111.799	149991	281523
0.155	1.33153	111.799	149991	281614
0.165	1.33121	111.799	149991	281682
0.175	1.331	111.798	149991	281728
0.185	1.33088	111.798	149992	281753
0.195	1.33083	111.798	149992	281764
0.205	1.33082	111.797	149992	281766
0.215	1.33085	111.797	149992	281761
0.225	1.33099	111.797	149992	281731
0.235	1.33128	111.797	149992	281669
0.245	1.33162	111.796	149993	281598
0.255	1.33192	111.796	149993	281535
0.265	1.33216	111.796	149993	281484
0.275	1.33236	111.796	149993	281443
0.285	1.33251	111.796	149993	281409
0.295	1.33264	111.796	149993	281383
0.305	1.33274	111.796	149993	281361
0.315	1.33282	111.797	149992	281344
0.325	1.33288	111.799	149991	281328
0.335	1.33293	111.804	149989	281313
0.345	1.33297	111.81	149985	281299
0.355	1.33299	111.817	149982	281289
0.365	1.33296	111.83	149975	281281
0.375	1.33284	111.872	149952	281264
0.385	1.33246	111.992	149889	281226
0.395	1.33145	112.3	149727	281135
0.405	1.32895	113.053	149329	280916
0.415	1.3226	114.964	148326	280369
0.425	1.30882	119.105	146167	279196
0.435	1.28688	125.757	142755	277327
0.445	1.26026	133.954	138645	275032
0.455	1.23478	141.947	134738	272797
0.465	1.21443	148.418	131645	271001
0.475	1.19975	153.096	129443	269728
0.485	1.19016	156.124	128032	268939
0.495	1.18451	157.872	127226	268522
0.505	1.18163	158.755	126832	268342
0.515	1.18048	159.134	126680	268281
0.525	1.18018	159.274	126639	268262
0.535	0.158842	159.323	126632	1.18988e+06
0.545	0.158843	159.341	126633	1.18988e+06
0.555	0.158844	159.35	126635	1.18989e+06
0.565	0.158844	159.356	126636	1.1899e+06
0.575	0.158848	159.383	126641	1.18992e+06
0.585	0.15885	159.398	126644	1.18993e+06
0.595	0.158832	159.27	126620	1.18984e+06
0.605	0.158792	158.981	126567	1.18965e+06
0.615	0.158734	158.561	126490	1.18936e+06
0.625	0.158657	158.006	126389	1.18897e+06
0.635	0.158586	157.489	126294	1.18862e+06
0.645	0.158538	157.142	126231	1.18838e+06
0.655	0.158492	156.812	126170	1.18816e+06
0.665	0.158366	155.889	126002	1.18752e+06
0.675	0.157996	153.199	125511	1.18567e+06
0.685	0.157419	148.993	124748	1.18277e+06
0.695	0.156716	143.849	123819	1.17923e+06
0.705	0.155943	138.178	122801	1.17534e+06
0.715	0.155237	132.979	121875	1.17178e+06
0.725	0.154444	127.148	120842	1.16781e+06
0.735	0.152894	115.705	118835	1.16006e+06
0.745	0.149698	91.8073	114730	1.1439e+06
0.755	0.145982	63.3519	109990	1.12456e+06
0.765	0.143318	42.6906	106648	1.11065e+06
0.775	0.141561	28.9674	104474	1.10151e+06
0.785	0.140398	19.8183	103044	1.09543e+06
0.795	0.139621	13.6783	102093	1.09137e+06
0.805	0.139095	9.50956	101451	1.08861e+06
0.815	0.138734	6.64584	101013	1.08672e+06
0.825	0.138485	4.65993	100709	1.08541e+06
0.835	0.138311	3.27329	100498	1.08449e+06
0.845	0.138188	2.30063	100350	1.08385e+06
0.855	0.138103	1.61648	100246	1.0834e+06
0.865	0.138042	1.13461	100172	1.08308e+06
0.875	0.138	0.79508	100121	1.08286e+06
0.885	0.13797	0.55595	100084	1.0827e+06
0.895	0.137949	0.387706	100059	1.08259e+06
0.905	0.137934	0.269526	100041	1.08251e+06
0.915	0.137923	0.186691	100028	1.08246e+06
0.925	0.137916	0.128786	100020	1.08242e+06
0.935	0.137911	0.0884402	100013	1.08239e+06
0.945	0.137908	0.0604328	100009	1.08237e+06
0.955	0.137905	0.041079	100006	1.08236e+06
0.965	0.137903	0.0277873	100004	1.08235e+06
0.975	0.137902	0.0180403	100003	1.08234e+06
0.985	0.137902	0.0128719	100002	1.08234e+06
0.995	0.137901	0.011807	100002	1.08234e+06
