x	rho	u	p	e
0.0025	1.33327	111.796	149995	281254
0.0075	1.33327	111.796	149995	281254
0.0125	1.33327	111.796	149995	281254
0.0175	1.33327	111.796	149995	281254
0.0225	1.33327	111.796	149995	281254
0.0275	1.33327	111.796	149995	281254
0.0325	1.33327	111.796	149995	281254
0.0375	1.33327	111.796	149995	281254
0.0425	1.33327	111.796	149995	281254
0.0475	1.33327	111.796	149995	281254
0.0525	1.33327	111.796	149995	281254
0.0575	1.33327	111.796	149995	281254
0.0625	1.33327	111.796	149995	281254
0.0675	1.33327	111.796	149995	281254
0.0725	1.33327	111.796	149995	281254
0.0775	1.33327	111.796	149995	281254
0.0825	1.33327	111.795	149995	281254
0.0875	1.33327	111.795	149995	281255
0.0925	1.33327	111.795	149995	281255
0.0975	1.33327	111.795	149995	281255
0.1025	1.33327	111.795	149995	281255
0.1075	1.33327	111.795	149995	281255
0.1125	1.33327	111.795	149995	281255
0.1175	1.33326	111.795	149995	281256
0.1225	1.33326	111.796	149995	281256
0.1275	1.33326	111.796	149995	281256
0.1325	1.33326	111.796	149995	281256
0.1375	1.33326	111.796	149995	281256
0.1425	1.33325	111.797	149995	281257
0.1475	1.33324	111.798	149994	281258
0.1525	1.33322	111.8	149993	281261
0.1575	1.33315	111.806	149990	281269
0.1625	1.33299	111.818	149983	281291
0.1675	1.33272	111.837	149973	281329
0.1725	1.33238	111.861	149961	281378
0.1775	1.33199	111.89	149945	281430
0.1825	1.3316	111.927	149926	281476
0.1875	1.33117	111.987	149894	281508
0.1925	1.33053	112.121	149823	281511
0.1975	1.32931	112.441	149655	281451
0.2025	1.32678	113.164	149273	281269
0.2075	1.32216	114.529	148556	280896
0.2125	1.31502	116.667	147438	280296
0.2175	1.30538	119.584	145925	279468
0.2225	1.29368	123.157	144089	278449
0.2275	1.28068	127.161	142055	277304
0.2325	1.26746	131.28	139990	276123
0.2375	1.2548	135.259	138018	274979
0.2425	1.243	139.005	136183	273900
0.2475	1.23218	142.472	134505	272900
0.2525	1.22244	145.615	132998	271991
0.2575	1.21388	148.4	131674	271184
0.2625	1.20652	150.809	130538	270485
0.2675	1.20035	152.837	129588	269896
0.2725	1.19533	154.496	128815	269413
0.2775	1.19136	155.815	128204	269029
0.2825	1.1883	156.832	127734	268732
0.2875	1.18602	157.594	127382	268508
0.2925	1.18437	158.147	127128	268343
0.2975	1.18322	158.538	126948	268226
0.3025	1.18243	158.805	126825	268144
0.3075	1.18192	158.981	126744	268088
0.3125	1.18161	159.091	126693	268051
0.3175	1.18144	159.154	126664	268029
0.3225	1.18137	159.184	126650	268016
0.3275	1.18135	159.194	126645	268010
0.3325	1.18136	159.194	126645	268007
0.3375	1.18142	159.176	126653	268010
0.3425	1.18164	159.104	126685	268028
0.3475	1.18232	158.885	126785	268086
0.3525	1.18425	158.262	127071	268253
0.3575	1.18964	156.513	127877	268731
0.3625	1.20413	151.785	130071	270053
0.3675	1.22799	144.09	133712	272216
0.3725	1.2524	136.377	137453	274380
0.3775	1.27132	130.493	140369	276030
0.3825	1.28435	126.486	142385	277155
0.3875	1.29268	123.939	143679	277871
0.3925	1.2977	122.408	144462	278303
0.3975	1.30057	121.534	144910	278550
0.4025	1.30213	121.058	145154	278685
0.4075	1.30293	120.812	145281	278757
0.4125	1.30332	120.69	145343	278795
0.4175	1.30348	120.631	145374	278818
0.4225	1.30354	120.601	145389	278833
0.4275	1.30356	120.583	145398	278847
0.4325	1.30357	120.57	145404	278858
0.4375	1.30356	120.559	145410	278869
0.4425	1.30356	120.548	145415	278882
0.4475	1.30353	120.535	145422	278899
0.4525	1.30349	120.509	145435	278934
0.4575	1.30346	120.48	145449	278968
0.4625	1.30355	120.426	145476	278999
0.4675	1.30403	120.251	145564	279066
0.4725	1.30557	119.81	145817	279222
0.4775	1.30992	118.582	146510	279616
0.4825	1.31542	116.283	147378	280098
0.4875	0.174274	113.938	147819	1.26596e+06
0.4925	0.174348	112.454	147923	1.26633e+06
0.4975	0.174373	111.388	147962	1.26647e+06
0.5025	0.174382	110.693	147979	1.26655e+06
0.5075	0.174389	110.217	147991	1.26661e+06
0.5125	0.174395	109.829	148004	1.26667e+06
0.5175	0.174394	109.436	148006	1.2667e+06
0.5225	0.174382	109.013	147992	1.26666e+06
0.5275	0.174365	108.635	147970	1.2666e+06
0.5325	0.174353	108.371	147955	1.26656e+06
0.5375	0.174358	108.262	147963	1.26659e+06
0.5425	0.174366	108.185	147974	1.26663e+06
0.5475	0.17437	108.133	147982	1.26666e+06
0.5525	0.174374	108.096	147987	1.26668e+06
0.5575	0.174377	108.067	147992	1.2667e+06
0.5625	0.174379	108.046	147995	1.26671e+06
0.5675	0.174381	108.03	147998	1.26672e+06
0.5725	0.174382	108.016	148000	1.26673e+06
0.5775	0.174383	108.004	148002	1.26674e+06
0.5825	0.174383	107.994	148003	1.26675e+06
0.5875	0.174383	107.987	148004	1.26676e+06
0.5925	0.174384	107.981	148005	1.26676e+06
0.5975	0.174384	107.977	148005	1.26676e+06
0.6025	0.174384	107.973	148006	1.26676e+06
0.6075	0.174385	107.969	148006	1.26676e+06
0.6125	0.174386	107.966	148006	1.26676e+06
0.6175	0.174388	107.963	148007	1.26675e+06
