x	rho	u	p	e
0.0005	1.33327	111.795	149996	281255
0.0015	1.33327	111.795	149996	281255
0.0025	1.33327	111.795	149996	281255
0.0035	1.33327	111.795	149996	281255
0.0045	1.33327	111.795	149996	281255
0.0055	1.33327	111.795	149996	281255
0.0065	1.33327	111.795	149996	281255
0.0075	1.33327	111.795	149996	281255
0.0085	1.33327	111.795	149996	281255
0.0095	1.33327	111.795	149996	281255
0.0105	1.33327	111.795	149996	281255
0.0115	1.33327	111.795	149996	281255
0.0125	1.33327	111.795	149996	281255
0.0135	1.33327	111.795	149996	281255
0.0145	1.33327	111.795	149996	281255
0.0155	1.33327	111.795	149996	281255
0.0165	1.33327	111.795	149996	281255
0.0175	1.33327	111.795	149996	281255
0.0185	1.33327	111.795	149996	281255
0.0195	1.33327	111.795	149996	281255
0.0205	1.33327	111.795	149996	281255
0.0215	1.33327	111.795	149996	281255
0.0225	1.33327	111.795	149996	281255
0.0235	1.33327	111.795	149996	281255
0.0245	1.33327	111.795	149996	281255
0.0255	1.33327	111.795	149996	281255
0.0265	1.33327	111.795	149996	281255
0.0275	1.33327	111.795	149996	281255
0.0285	1.33327	111.795	149996	281255
0.0295	1.33327	111.795	149996	281255
0.0305	1.33327	111.795	149996	281255
0.0315	1.33327	111.795	149996	281255
0.0325	1.33327	111.795	149996	281255
0.0335	1.33327	111.795	149996	281255
0.0345	1.33327	111.795	149996	281255
0.0355	1.33327	111.795	149996	281255
0.0365	1.33327	111.795	149996	281255
0.0375	1.33327	111.795	149996	281255
0.0385	1.33327	111.795	149996	281255
0.0395	1.33327	111.795	149996	281255
0.0405	1.33327	111.795	149996	281255
0.0415	1.33327	111.795	149996	281255
0.0425	1.33327	111.795	149996	281255
0.0435	1.33327	111.795	149996	281255
0.0445	1.33327	111.795	149996	281255
0.0455	1.33327	111.795	149996	281255
0.0465	1.33327	111.795	149996	281255
0.0475	1.33327	111.795	149996	281255
0.0485	1.33327	111.795	149996	281255
0.0495	1.33327	111.795	149996	281255
0.0505	1.33327	111.795	149996	281255
0.0515	1.33327	111.795	149996	281255
0.0525	1.33327	111.795	149996	281255
0.0535	1.33327	111.795	149996	281255
0.0545	1.33327	111.795	149996	281255
0.0555	1.33327	111.795	149996	281255
0.0565	1.33327	111.795	149996	281255
0.0575	1.33327	111.795	149996	281255
0.0585	1.33327	111.795	149996	281255
0.0595	1.33327	111.795	149996	281255
0.0605	1.33327	111.795	149996	281255
0.0615	1.33327	111.795	149996	281255
0.0625	1.33327	111.795	149996	281255
0.0635	1.33327	111.795	149996	281255
0.0645	1.33327	111.795	149996	281255
0.0655	1.33327	111.795	149996	281255
0.0665	1.33327	111.795	149996	281255
0.0675	1.33327	111.795	149996	281255
0.0685	1.33327	111.795	149996	281255
0.0695	1.33327	111.795	149996	281255
0.0705	1.33327	111.795	149996	281255
0.0715	1.33327	111.795	149996	281255
0.0725	1.33327	111.795	149996	281255
0.0735	1.33327	111.795	149996	281255
0.0745	1.33327	111.795	149996	281255
0.0755	1.33327	111.795	149996	281255
0.0765	1.33327	111.795	149996	281255
0.0775	1.33327	111.795	149996	281255
0.0785	1.33327	111.795	149996	281255
0.0795	1.33327	111.795	149996	281255
0.0805	1.33327	111.795	149996	281255
0.0815	1.33327	111.795	149996	281255
0.0825	1.33327	111.795	149996	281255
0.0835	1.33327	111.795	149996	281255
0.0845	1.33327	111.795	149996	281255
0.0855	1.33327	111.795	149996	281255
0.0865	1.33327	111.795	149996	281255
0.0875	1.33327	111.795	149996	281255
0.0885	1.33327	111.795	149996	281255
0.0895	1.33327	111.795	149996	281255
0.0905	1.33327	111.795	149996	281255
0.0915	1.33327	111.795	149996	281255
0.0925	1.33327	111.795	149996	281255
0.0935	1.33327	111.795	149996	281255
0.0945	1.33327	111.795	149996	281255
0.0955	1.33327	111.795	149996	281255
0.0965	1.33327	111.795	149996	281255
0.0975	1.33327	111.795	149996	281255
0.0985	1.33327	111.795	149996	281255
0.0995	1.33327	111.795	149996	281255
0.1005	1.33327	111.795	149996	281255
0.1015	1.33327	111.795	149996	281255
0.1025	1.33327	111.795	149996	281255
0.1035	1.33327	111.795	149996	281255
0.1045	1.33327	111.795	149996	281255
0.1055	1.33327	111.795	149996	281255
0.1065	1.33327	111.795	149996	281255
0.1075	1.33327	111.795	149996	281255
0.1085	1.33327	111.795	149996	281255
0.1095	1.33327	111.795	149996	281255
0.1105	1.33327	111.795	149996	281255
0.1115	1.33327	111.795	149996	281255
0.1125	1.33327	111.795	149996	281255
0.1135	1.33327	111.795	149996	281255
0.1145	1.33327	111.795	149996	281255
0.1155	1.33327	111.795	149996	281255
0.1165	1.33327	111.795	149996	281255
0.1175	1.33327	111.795	149996	281255
0.1185	1.33327	111.795	149996	281255
0.1195	1.33327	111.795	149996	281255
0.1205	1.33327	111.795	149996	281255
0.1215	1.33327	111.795	149996	281255
0.1225	1.33327	111.795	149996	281255
0.1235	1.33327	111.795	149996	281255
0.1245	1.33327	111.795	149996	281255
0.1255	1.33327	111.795	149996	281255
0.1265	1.33327	111.795	149996	281255
0.1275	1.33327	111.795	149996	281255
0.1285	1.33327	111.795	149996	281255
0.1295	1.33327	111.795	149996	281255
0.1305	1.33327	111.795	149996	281255
0.1315	1.33327	111.795	149996	281255
0.1325	1.33327	111.795	149996	281255
0.1335	1.33327	111.795	149996	281255
0.1345	1.33327	111.795	149996	281255
0.1355	1.33327	111.795	149996	281255
0.1365	1.33327	111.795	149996	281255
0.1375	1.33327	111.795	149996	281255
0.1385	1.33327	111.795	149996	281255
0.1395	1.33327	111.795	149996	281255
0.1405	1.33327	111.795	149996	281255
0.1415	1.33327	111.795	149996	281255
0.1425	1.33327	111.795	149996	281255
0.1435	1.33327	111.795	149996	281255
0.1445	1.33327	111.795	149996	281255
0.1455	1.33327	111.795	149996	281255
0.1465	1.33327	111.795	149996	281255
0.1475	1.33327	111.795	149996	281255
0.1485	1.33327	111.795	149996	281255
0.1495	1.33327	111.795	149996	281255
0.1505	1.33327	111.795	149996	281255
0.1515	1.33327	111.795	149996	281255
0.1525	1.33327	111.795	149996	281255
0.1535	1.33327	111.795	149996	281255
0.1545	1.33327	111.795	149996	281255
0.1555	1.33327	111.795	149996	281255
0.1565	1.33327	111.795	149995	281255
0.1575	1.33327	111.795	149995	281255
0.1585	1.33327	111.795	149995	281255
0.1595	1.33327	111.795	149995	281255
0.1605	1.33327	111.795	149995	281254
0.1615	1.33327	111.796	149995	281254
0.1625	1.33327	111.796	149995	281254
0.1635	1.33327	111.796	149995	281254
0.1645	1.33327	111.796	149995	281254
0.1655	1.33327	111.796	149995	281254
0.1665	1.33327	111.797	149995	281254
0.1675	1.33327	111.797	149995	281254
0.1685	1.33326	111.797	149994	281254
0.1695	1.33326	111.797	149994	281254
0.1705	1.33326	111.797	149994	281254
0.1715	1.33326	111.798	149994	281254
0.1725	1.33326	111.798	149994	281254
0.1735	1.33326	111.798	149994	281254
0.1745	1.33326	111.798	149994	281254
0.1755	1.33326	111.798	149994	281254
0.1765	1.33326	111.798	149994	281254
0.1775	1.33326	111.798	149994	281254
0.1785	1.33326	111.798	149994	281254
0.1795	1.33326	111.798	149994	281254
0.1805	1.33326	111.798	149994	281254
0.1815	1.33326	111.798	149994	281254
0.1825	1.33326	111.797	149994	281254
0.1835	1.33326	111.797	149994	281254
0.1845	1.33326	111.797	149994	281254
0.1855	1.33326	111.797	149994	281255
0.1865	1.33326	111.797	149994	281255
0.1875	1.33326	111.797	149995	281255
0.1885	1.33326	111.797	149995	281256
0.1895	1.33324	111.797	149995	281259
0.1905	1.33321	111.796	149995	281267
0.1915	1.33313	111.796	149995	281282
0.1925	1.33304	111.796	149995	281303
0.1935	1.33292	111.796	149995	281328
0.1945	1.33279	111.796	149995	281355
0.1955	1.33267	111.796	149995	281381
0.1965	1.33255	111.796	149995	281406
0.1975	1.33245	111.796	149995	281428
0.1985	1.33235	111.796	149995	281447
0.1995	1.33227	111.796	149995	281465
0.2005	1.3322	111.796	149995	281479
0.2015	1.33214	111.796	149995	281492
0.2025	1.3321	111.796	149995	281501
0.2035	1.33206	111.796	149995	281509
0.2045	1.33203	111.797	149995	281514
0.2055	1.33201	111.798	149994	281518
0.2065	1.33198	111.803	149992	281520
0.2075	1.33194	111.81	149988	281520
0.2085	1.3319	111.82	149982	281519
0.2095	1.33186	111.833	149975	281515
0.2105	1.33181	111.849	149967	281509
0.2115	1.33176	111.87	149956	281499
0.2125	1.33171	111.898	149941	281483
0.2135	1.33164	111.935	149921	281459
0.2145	1.33154	111.987	149894	281431
0.2155	1.33123	112.095	149837	281389
0.2165	1.33039	112.363	149695	281298
0.2175	1.329	112.807	149461	281154
0.2185	1.32719	113.374	149162	280974
0.2195	1.32505	114.039	148812	280768
0.2205	1.32264	114.785	148421	280540
0.2215	1.31997	115.607	147991	280292
0.2225	1.31705	116.502	147523	280025
0.2235	1.31391	117.465	147022	279740
0.2245	1.31057	118.488	146490	279439
0.2255	1.30706	119.563	145934	279125
0.2265	1.30341	120.681	145357	278801
0.2275	1.29965	121.833	144765	278468
0.2285	1.29581	123.012	144160	278128
0.2295	1.2919	124.213	143548	277784
0.2305	1.28796	125.427	142930	277436
0.2315	1.284	126.646	142312	277088
0.2325	1.28005	127.863	141698	276741
0.2335	1.27613	129.078	141087	276396
0.2345	1.27222	130.289	140479	276052
0.2355	1.26833	131.497	139876	275711
0.2365	1.26446	132.7	139278	275370
0.2375	1.26062	133.898	138684	275032
0.2385	1.2568	135.09	138095	274696
0.2395	1.25301	136.276	137512	274363
0.2405	1.24926	137.453	136935	274032
0.2415	1.24554	138.622	136364	273703
0.2425	1.24187	139.78	135800	273379
0.2435	1.23824	140.926	135244	273058
0.2445	1.23466	142.057	134697	272741
0.2455	1.23115	143.173	134160	272429
0.2465	1.2277	144.27	133633	272122
0.2475	1.22432	145.345	133119	271822
0.2485	1.22102	146.397	132617	271528
0.2495	1.21782	147.421	132130	271243
0.2505	1.21472	148.415	131659	270966
0.2515	1.21173	149.375	131205	270698
0.2525	1.20886	150.298	130771	270441
0.2535	1.20612	151.18	130356	270196
0.2545	1.20353	152.019	129963	269963
0.2555	1.20108	152.811	129593	269743
0.2565	1.19879	153.553	129247	269537
0.2575	1.19666	154.244	128925	269345
0.2585	1.19469	154.883	128629	269167
0.2595	1.19289	155.468	128358	269005
0.2605	1.19126	155.999	128112	268858
0.2615	1.1898	156.477	127891	268725
0.2625	1.18849	156.903	127695	268607
0.2635	1.18734	157.279	127521	268503
0.2645	1.18633	157.609	127370	268411
0.2655	1.18546	157.894	127238	268332
0.2665	1.18471	158.139	127126	268264
0.2675	1.18407	158.347	127030	268207
0.2685	1.18354	158.523	126950	268158
0.2695	1.18309	158.668	126883	268118
0.2705	1.18272	158.789	126828	268085
0.2715	1.18242	158.887	126783	268057
0.2725	1.18218	158.967	126746	268035
0.2735	1.18199	159.031	126717	268018
0.2745	1.18183	159.081	126694	268004
0.2755	1.18171	159.121	126676	267992
0.2765	1.18161	159.153	126661	267984
0.2775	1.18154	159.177	126650	267977
0.2785	1.18148	159.195	126642	267972
0.2795	1.18144	159.209	126635	267968
0.2805	1.18141	159.22	126630	267965
0.2815	1.18138	159.228	126627	267963
0.2825	1.18136	159.234	126624	267961
0.2835	1.18135	159.239	126622	267960
0.2845	1.18134	159.242	126620	267959
0.2855	1.18133	159.244	126619	267958
0.2865	1.18133	159.246	126619	267958
0.2875	1.18132	159.247	126618	267958
0.2885	1.18132	159.248	126618	267957
0.2895	1.18132	159.249	126617	267957
0.2905	1.18132	159.249	126617	267957
0.2915	1.18132	159.25	126617	267957
0.2925	1.18132	159.25	126617	267957
0.2935	1.18132	159.25	126617	267957
0.2945	1.18131	159.25	126616	267957
0.2955	1.18131	159.251	126616	267957
0.2965	1.18131	159.251	126616	267957
0.2975	1.18131	159.251	126616	267957
0.2985	1.18131	159.251	126616	267957
0.2995	1.18131	159.251	126616	267957
0.3005	1.18131	159.251	126616	267957
0.3015	1.18131	159.251	126616	267957
0.3025	1.18131	159.251	126616	267957
0.3035	1.18131	159.251	126616	267957
0.3045	1.18131	159.251	126616	267957
0.3055	1.18131	159.251	126616	267957
0.3065	1.18131	159.252	126616	267957
0.3075	1.18131	159.252	126616	267957
0.3085	1.18131	159.252	126616	267957
0.3095	1.18131	159.252	126616	267957
0.3105	1.18131	159.252	126616	267957
0.3115	1.18131	159.252	126616	267957
0.3125	1.18131	159.252	126616	267957
0.3135	1.18131	159.252	126616	267957
0.3145	1.18131	159.252	126616	267957
0.3155	1.18131	159.252	126616	267956
0.3165	1.18131	159.252	126616	267956
0.3175	1.18131	159.252	126616	267956
0.3185	1.18131	159.252	126616	267956
0.3195	1.18131	159.253	126615	267956
0.3205	1.18131	159.253	126615	267956
0.3215	1.18131	159.253	126615	267956
0.3225	1.18131	159.253	126615	267956
0.3235	1.18131	159.253	126615	267956
0.3245	1.18131	159.253	126615	267956
0.3255	1.18131	159.253	126615	267956
0.3265	1.1813	159.253	126615	267956
0.3275	1.1813	159.253	126615	267956
0.3285	1.1813	159.253	126615	267956
0.3295	1.1813	159.253	126615	267956
0.3305	1.1813	159.253	126615	267956
0.3315	1.1813	159.253	126615	267956
0.3325	1.1813	159.253	126615	267956
0.3335	1.1813	159.253	126615	267956
0.3345	1.1813	159.253	126615	267956
0.3355	1.1813	159.253	126615	267956
0.3365	1.1813	159.253	126615	267956
0.3375	1.1813	159.253	126615	267956
0.3385	1.1813	159.253	126615	267956
0.3395	1.1813	159.254	126615	267956
0.3405	1.1813	159.254	126615	267956
0.3415	1.1813	159.254	126615	267956
0.3425	1.1813	159.254	126615	267956
0.3435	1.1813	159.254	126615	267956
0.3445	1.1813	159.254	126615	267956
0.3455	1.1813	159.254	126615	267956
0.3465	1.1813	159.254	126615	267956
0.3475	1.1813	159.254	126615	267956
0.3485	1.1813	159.254	126615	267956
0.3495	1.1813	159.254	126615	267956
0.3505	1.1813	159.254	126615	267957
0.3515	1.1813	159.254	126615	267957
0.3525	1.1813	159.254	126615	267957
0.3535	1.1813	159.254	126615	267957
0.3545	1.1813	159.254	126615	267957
0.3555	1.1813	159.253	126615	267957
0.3565	1.1813	159.253	126615	267957
0.3575	1.18131	159.252	126616	267957
0.3585	1.18131	159.249	126617	267958
0.3595	1.18133	159.242	126620	267960
0.3605	1.18139	159.225	126628	267965
0.3615	1.18153	159.178	126650	267978
0.3625	1.1819	159.056	126706	268012
0.3635	1.18288	158.737	126852	268099
0.3645	1.18541	157.916	127229	268323
0.3655	1.19247	155.615	128290	268959
0.3665	1.20758	150.7	130579	270332
0.3675	1.22871	143.912	133799	272235
0.3685	1.24915	137.453	136929	274045
0.3695	1.26537	132.39	139426	275464
0.3705	1.27747	128.653	141294	276512
0.3715	1.28611	126.001	142633	277257
0.3725	1.2921	124.169	143565	277773
0.3735	1.29618	122.927	144199	278123
0.3745	1.2989	122.098	144623	278356
0.3755	1.30071	121.551	144904	278511
0.3765	1.30189	121.192	145088	278612
0.3775	1.30265	120.96	145208	278678
0.3785	1.30315	120.809	145286	278720
0.3795	1.30347	120.712	145335	278748
0.3805	1.30367	120.65	145367	278765
0.3815	1.3038	120.611	145388	278776
0.3825	1.30389	120.586	145401	278783
0.3835	1.30394	120.569	145409	278788
0.3845	1.30397	120.559	145414	278791
0.3855	1.304	120.552	145418	278793
0.3865	1.30401	120.548	145420	278794
0.3875	1.30402	120.545	145422	278795
0.3885	1.30403	120.543	145423	278796
0.3895	1.30403	120.541	145424	278796
0.3905	1.30403	120.54	145424	278797
0.3915	1.30404	120.539	145425	278797
0.3925	1.30404	120.538	145425	278797
0.3935	1.30404	120.538	145425	278798
0.3945	1.30404	120.537	145426	278798
0.3955	1.30404	120.537	145426	278798
0.3965	1.30404	120.537	145426	278798
0.3975	1.30404	120.536	145426	278798
0.3985	1.30404	120.536	145426	278799
0.3995	1.30405	120.535	145426	278799
0.4005	1.30405	120.535	145427	278799
0.4015	1.30405	120.535	145427	278799
0.4025	1.30405	120.535	145427	278799
0.4035	1.30405	120.535	145427	278799
0.4045	1.30405	120.535	145427	278800
0.4055	1.30405	120.534	145427	278800
0.4065	1.30405	120.534	145427	278800
0.4075	1.30405	120.534	145427	278800
0.4085	1.30405	120.534	145427	278800
0.4095	1.30405	120.534	145427	278800
0.4105	1.30405	120.533	145427	278801
0.4115	1.30405	120.533	145428	278801
0.4125	1.30405	120.533	145428	278801
0.4135	1.30405	120.533	145428	278801
0.4145	1.30405	120.533	145428	278801
0.4155	1.30405	120.533	145428	278801
0.4165	1.30404	120.533	145428	278802
0.4175	1.30404	120.532	145428	278802
0.4185	1.30404	120.532	145428	278802
0.4195	1.30404	120.532	145428	278802
0.4205	1.30404	120.532	145428	278802
0.4215	1.30404	120.532	145428	278802
0.4225	1.30404	120.532	145428	278803
0.4235	1.30404	120.532	145428	278803
0.4245	1.30404	120.532	145428	278803
0.4255	1.30404	120.532	145428	278803
0.4265	1.30404	120.532	145428	278803
0.4275	1.30404	120.532	145428	278804
0.4285	1.30404	120.532	145428	278804
0.4295	1.30404	120.531	145428	278804
0.4305	1.30404	120.531	145428	278804
0.4315	1.30404	120.531	145428	278805
0.4325	1.30403	120.531	145428	278805
0.4335	1.30403	120.531	145429	278805
0.4345	1.30403	120.531	145429	278805
0.4355	1.30403	120.531	145429	278806
0.4365	1.30403	120.531	145429	278806
0.4375	1.30403	120.531	145429	278806
0.4385	1.30403	120.531	145429	278807
0.4395	1.30403	120.531	145429	278807
0.4405	1.30402	120.531	145429	278807
0.4415	1.30402	120.531	145429	278808
0.4425	1.30402	120.531	145429	278808
0.4435	1.30402	120.531	145429	278809
0.4445	1.30402	120.531	145429	278809
0.4455	1.30401	120.531	145429	278810
0.4465	1.30401	120.531	145429	278810
0.4475	1.30401	120.531	145429	278811
0.4485	1.30401	120.531	145429	278811
0.4495	1.304	120.53	145429	278812
0.4505	1.304	120.53	145429	278813
0.4515	1.304	120.53	145429	278814
0.4525	1.30399	120.53	145429	278815
0.4535	1.30399	120.53	145429	278816
0.4545	1.30398	120.53	145429	278818
0.4555	1.30398	120.528	145430	278820
