x	rho	u	p	e	rhoEx	uEx	pEx	eEx
0.0025	999.998	0.00553982	9.99985e+08	1.07059e+06	1000	0	1e+09	1.07059e+06
0.0075	999.996	0.0114721	9.9997e+08	1.07058e+06	1000	0	1e+09	1.07059e+06
0.0125	999.989	0.0284613	9.99924e+08	1.07058e+06	1000	0	1e+09	1.07059e+06
0.0175	999.975	0.0655243	9.99826e+08	1.07056e+06	1000	0	1e+09	1.07059e+06
0.0225	999.944	0.147863	9.99608e+08	1.07053e+06	1000	0	1e+09	1.07059e+06
0.0275	999.874	0.334321	9.99113e+08	1.07046e+06	1000	0	1e+09	1.07059e+06
0.0325	999.711	0.767423	9.97964e+08	1.0703e+06	1000	0	1e+09	1.07059e+06
0.0375	999.359	1.70057	9.95491e+08	1.06995e+06	1000	0	1e+09	1.07059e+06
0.0425	998.757	3.29863	9.91263e+08	1.06935e+06	1000	0	1e+09	1.07059e+06
0.0475	997.886	5.6058	9.8517e+08	1.06849e+06	1000	0	1e+09	1.07059e+06
0.0525	996.74	8.64126	9.77177e+08	1.06736e+06	1000	0	1e+09	1.07059e+06
0.0575	995.326	12.3804	9.67365e+08	1.06597e+06	1000	0	1e+09	1.07059e+06
0.0625	993.666	16.7678	9.559e+08	1.06436e+06	1000	0	1e+09	1.07059e+06
0.0675	991.786	21.7286	9.42998e+08	1.06255e+06	1000	0	1e+09	1.07059e+06
0.0725	989.718	27.1794	9.28898e+08	1.06058e+06	998.53	3.89886	9.89676e+08	1.06912e+06
0.0775	987.491	33.0377	9.13831e+08	1.05848e+06	995.584	11.6981	9.69146e+08	1.06622e+06
0.0825	985.135	39.2279	8.98009e+08	1.05629e+06	992.633	19.4973	9.4878e+08	1.06336e+06
0.0875	982.674	45.6843	8.81615e+08	1.05403e+06	989.675	27.2966	9.28576e+08	1.06053e+06
0.0925	980.127	52.3527	8.64798e+08	1.05172e+06	986.711	35.0958	9.08536e+08	1.05774e+06
0.0975	977.511	59.1894	8.47679e+08	1.04939e+06	983.741	42.8951	8.88657e+08	1.05499e+06
0.1025	974.839	66.1602	8.3035e+08	1.04704e+06	980.764	50.6943	8.6894e+08	1.05228e+06
0.1075	972.12	73.2386	8.12884e+08	1.04468e+06	977.781	58.4935	8.49384e+08	1.04961e+06
0.1125	969.363	80.4043	7.95337e+08	1.04233e+06	974.792	66.2928	8.29989e+08	1.04698e+06
0.1175	966.572	87.6418	7.7775e+08	1.03999e+06	971.796	74.092	8.10753e+08	1.04438e+06
0.1225	963.752	94.9392	7.60156e+08	1.03766e+06	968.794	81.8913	7.91678e+08	1.04183e+06
0.1275	960.907	102.287	7.42579e+08	1.03535e+06	965.785	89.6905	7.72761e+08	1.03931e+06
0.1325	958.039	109.679	7.25039e+08	1.03307e+06	962.77	97.4898	7.54003e+08	1.03684e+06
