x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.0025	1	-2	0.4	1	1	-2	0.4	1
0.0075	1	-2	0.4	1	1	-2	0.4	1
0.0125	1	-2	0.4	1	1	-2	0.4	1
0.0175	1	-2	0.4	1	1	-2	0.4	1
0.0225	1	-2	0.4	1	1	-2	0.4	1
0.0275	1	-2	0.4	1	1	-2	0.4	1
0.0325	1	-2	0.4	1	1	-2	0.4	1
0.0375	1	-2	0.4	1	1	-2	0.4	1
0.0425	0.999999	-2	0.399999	1	1	-2	0.4	1
0.0475	0.999992	-1.99999	0.399995	0.999997	1	-2	0.4	1
0.0525	0.999949	-1.99996	0.399971	0.99998	1	-2	0.4	1
0.0575	0.999766	-1.99983	0.399869	0.999907	1	-2	0.4	1
0.0625	0.99914	-1.99936	0.399518	0.999656	1	-2	0.4	1
0.0675	0.997341	-1.99801	0.398512	0.998935	1	-2	0.4	1
0.0725	0.992868	-1.99464	0.396008	0.997132	1	-2	0.4	1
0.0775	0.982767	-1.987	0.390376	0.993052	1	-2	0.4	1
0.0825	0.965712	-1.97398	0.380928	0.986134	1	-2	0.4	1
0.0875	0.943208	-1.95652	0.368571	0.976908	1	-2	0.4	1
0.0925	0.917187	-1.93592	0.354429	0.966076	0.965232	-1.97361	0.380666	0.985945
0.0975	0.889224	-1.91324	0.339407	0.954223	0.929684	-1.94583	0.361185	0.971257
0.1025	0.860299	-1.88918	0.324063	0.941717	0.895191	-1.91806	0.342564	0.956679
0.1075	0.830956	-1.86409	0.308706	0.928769	0.86173	-1.89028	0.324773	0.942212
0.1125	0.801812	-1.83845	0.293665	0.915628	0.829277	-1.8625	0.307779	0.927854
0.1175	0.773198	-1.81255	0.279106	0.90244	0.797809	-1.83472	0.291554	0.913607
0.1225	0.745201	-1.78644	0.265068	0.889249	0.767304	-1.80695	0.276067	0.89947
0.1275	0.71786	-1.76018	0.251561	0.876079	0.737739	-1.77917	0.26129	0.885444
0.1325	0.691199	-1.73379	0.238586	0.862943	0.709092	-1.75139	0.247197	0.871527
0.1375	0.665228	-1.7073	0.226138	0.849853	0.681342	-1.72361	0.233761	0.857721
0.1425	0.639952	-1.6807	0.214209	0.836817	0.654468	-1.69583	0.220955	0.844025
0.1475	0.615369	-1.65401	0.202786	0.82384	0.628449	-1.66806	0.208756	0.830439
0.1525	0.591475	-1.62725	0.191858	0.810928	0.603264	-1.64028	0.197138	0.816964
0.1575	0.568266	-1.60041	0.18141	0.798084	0.578893	-1.6125	0.186079	0.803599
0.1625	0.545734	-1.5735	0.171429	0.785314	0.555316	-1.58472	0.175556	0.790344
0.1675	0.523874	-1.54653	0.161902	0.772621	0.532513	-1.55695	0.165547	0.777199
0.1725	0.502676	-1.51951	0.152816	0.76001	0.510466	-1.52917	0.156032	0.764164
0.1775	0.482132	-1.49244	0.144154	0.747482	0.489155	-1.50139	0.146989	0.75124
0.1825	0.46223	-1.46533	0.135903	0.735039	0.468562	-1.47361	0.138399	0.738426
0.1875	0.442956	-1.43816	0.128046	0.72268	0.448669	-1.44583	0.130243	0.725722
0.1925	0.424297	-1.41094	0.120569	0.710405	0.429456	-1.41806	0.122503	0.713128
0.1975	0.406239	-1.38367	0.113456	0.698211	0.410908	-1.39028	0.11516	0.700645
0.2025	0.388767	-1.35635	0.106693	0.686097	0.393006	-1.3625	0.108198	0.688272
0.2075	0.371868	-1.32897	0.100265	0.674062	0.375734	-1.33472	0.1016	0.676009
0.2125	0.355529	-1.30153	0.0941593	0.662106	0.359074	-1.30695	0.0953495	0.663856
0.2175	0.339737	-1.27403	0.0883631	0.650232	0.343011	-1.27917	0.0894317	0.651813
