x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.005	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.015	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.025	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.035	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.045	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.055	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.065	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.075	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.085	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.095	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.105	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.115	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.125	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.135	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.145	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.155	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.165	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.175	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.185	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.195	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.205	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.215	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.225	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.235	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.245	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.255	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.265	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.275	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.285	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.295	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.305	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.315	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.325	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.335	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.345	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.355	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.365	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.375	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.385	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.395	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.405	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.415	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.425	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.435	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.445	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.455	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.465	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.475	5.99924	19.5975	460.894	192.063	5.99924	19.5975	460.894	192.063
0.485	5.99927	19.5974	460.897	192.064	5.99924	19.5975	460.894	192.063
0.495	5.99926	19.5973	460.904	192.067	5.99924	19.5975	460.894	192.063
0.505	5.99656	19.6023	460.598	192.026	5.99924	19.5975	460.894	192.063
0.515	5.98992	19.6195	459.529	191.793	5.99924	19.5975	460.894	192.063
0.525	6.02426	19.6236	459.25	190.584	5.99924	19.5975	460.894	192.063
0.535	7.42217	16.9492	646.677	217.819	14.2834	8.68855	1691.86	296.124
0.545	10.7341	12.1406	1142.95	266.194	14.2834	8.68855	1691.86	296.124
0.555	13.1673	9.70121	1512.27	287.125	14.2834	8.68855	1691.86	296.124
0.565	13.9874	8.96638	1641.22	293.34	14.2834	8.68855	1691.86	296.124
0.575	14.2121	8.76967	1677.71	295.12	14.2834	8.68855	1691.86	296.124
0.585	14.2677	8.72123	1687.3	295.65	14.2834	8.68855	1691.86	296.124
0.595	14.2805	8.70871	1689.84	295.832	14.2834	8.68855	1691.86	296.124
0.605	14.2832	8.70416	1690.58	295.902	14.2834	8.68855	1691.86	296.124
0.615	14.2842	8.70157	1690.85	295.931	14.2834	8.68855	1691.86	296.124
0.625	14.2854	8.69978	1690.97	295.927	14.2834	8.68855	1691.86	296.124
0.635	14.2876	8.69829	1691.05	295.893	14.2834	8.68855	1691.86	296.124
0.645	14.2911	8.69683	1691.13	295.836	14.2834	8.68855	1691.86	296.124
0.655	14.2952	8.69545	1691.2	295.764	14.2834	8.68855	1691.86	296.124
0.665	14.2993	8.69424	1691.28	295.693	14.2834	8.68855	1691.86	296.124
0.675	14.3031	8.69322	1691.35	295.627	14.2834	8.68855	1691.86	296.124
0.685	14.307	8.69243	1691.44	295.562	14.2834	8.68855	1691.86	296.124
0.695	14.3119	8.69192	1691.55	295.479	14.2834	8.68855	1691.86	296.124
0.705	14.3194	8.69165	1691.69	295.349	14.2834	8.68855	1691.86	296.124
0.715	14.3304	8.69151	1691.83	295.146	14.2834	8.68855	1691.86	296.124
0.725	14.3449	8.69129	1691.94	294.868	14.2834	8.68855	1691.86	296.124
0.735	14.3608	8.69078	1691.97	294.547	14.2834	8.68855	1691.86	296.124
0.745	14.3753	8.68991	1691.91	294.24	14.2834	8.68855	1691.86	296.124
0.755	14.3872	8.68878	1691.8	293.978	14.2834	8.68855	1691.86	296.124
0.765	14.3961	8.68762	1691.67	293.772	14.2834	8.68855	1691.86	296.124
0.775	14.4025	8.68672	1691.58	293.627	14.2834	8.68855	1691.86	296.124
0.785	14.4067	8.68636	1691.58	293.539	14.2834	8.68855	1691.86	296.124
0.795	14.4096	8.68669	1691.68	293.499	14.2834	8.68855	1691.86	296.124
0.805	14.4118	8.68787	1691.91	293.495	31.0524	8.68855	1691.86	136.21
0.815	29.1604	8.6903	1692.35	145.09	31.0524	8.68855	1691.86	136.21
0.825	29.206	8.69161	1692.71	144.894	31.0524	8.68855	1691.86	136.21
0.835	29.3849	8.69239	1693.01	144.037	31.0524	8.68855	1691.86	136.21
0.845	29.7078	8.6927	1693.17	142.485	31.0524	8.68855	1691.86	136.21
0.855	30.035	8.69256	1693.17	140.933	31.0524	8.68855	1691.86	136.21
0.865	30.298	8.69239	1693.15	139.709	31.0524	8.68855	1691.86	136.21
0.875	30.4995	8.69243	1693.18	138.788	31.0524	8.68855	1691.86	136.21
0.885	30.6443	8.69187	1693.07	138.122	31.0524	8.68855	1691.86	136.21
0.895	30.7342	8.68855	1692.15	137.644	31.0524	8.68855	1691.86	136.21
0.905	30.7726	8.68078	1690.03	137.3	31.0524	8.68855	1691.86	136.21
0.915	30.7714	8.66447	1685.98	136.976	31.0524	8.68855	1691.86	136.21
0.925	30.6042	8.61226	1669.99	136.418	31.0524	8.68855	1691.86	136.21
0.935	28.873	8.16972	1548.24	134.055	5.9942	-6.19633	46.095	19.2248
0.945	21.1321	5.83074	1026.83	121.478	5.9942	-6.19633	46.095	19.2248
0.955	10.0317	-1.55886	241.818	60.2638	5.9942	-6.19633	46.095	19.2248
0.965	6.24195	-6.28132	37.186	14.8936	5.9942	-6.19633	46.095	19.2248
0.975	5.96924	-6.26267	44.2449	18.5304	5.9942	-6.19633	46.095	19.2248
0.985	5.98783	-6.20078	46.0187	19.2134	5.9942	-6.19633	46.095	19.2248
0.995	5.994	-6.1937	46.1716	19.2574	5.9942	-6.19633	46.095	19.2248
